id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1236781605789851650,1236781605789851650,1583706687000,2020-03-09,00:31:27,שעון קיץ ירושלים,2479273629,david_slotnick,David Slotnick,,"A strongly-worded warning from State advising against cruises right now, especially international ones. CDC similarly advises deferring cruise travel:  https://wwwnc.cdc.gov/travel/page/covid-19-cruise-ship … #COVID19 #coronavirus  https://twitter.com/TravelGov/status/1236739608794275846 …",[],"['https://wwwnc.cdc.gov/travel/page/covid-19-cruise-ship', 'https://twitter.com/TravelGov/status/1236739608794275846']",[],0,0,0,"['#covid19', '#coronavirus']",[],https://twitter.com/David_Slotnick/status/1236781605789851650,False,https://twitter.com/TravelGov/status/1236739608794275846,0,New York,,,,,,"[{'user_id': '2479273629', 'username': 'David_Slotnick'}]",,,,
1236725856409718786,1236725856409718786,1583693396000,2020-03-08,20:49:56,שעון קיץ ירושלים,225709644,breakinnewsboy,Darren McQuade,NYC Office of Emergency Management (OEM),"#Breaking: @NYCMayor says 1 new #NYC #coronavirus case today. The new case is in the #Bronx.

Now 13 confirmed #COVID19 cases in New York City.

#news #BreakingNews #CoronavirusOutbreak
#PIX11NEWS pic.twitter.com/vYmMEdKiJu – at NYC Office of Emergency Management (OEM)",['nycmayor'],[],['https://pbs.twimg.com/media/ESm7m3OXkAM3Lo_.jpg'],0,0,0,"['#breaking', '#nyc', '#coronavirus', '#bronx', '#covid19', '#news', '#breakingnews', '#coronavirusoutbreak', '#pix11news']",[],https://twitter.com/BreakinNewsBoy/status/1236725856409718786,False,,0,New York,,,,,,"[{'user_id': '225709644', 'username': 'BreakinNewsBoy'}, {'user_id': '19834403', 'username': 'NYCMayor'}]",,,,
1236488543003910146,1236488543003910146,1583636816000,2020-03-08,05:06:56,שעון קיץ ירושלים,100284732,miguelgamino,Miguel GAMIÑO Jr.,,"Serious escalation in Italy. “People will be told to stay home as much as possible, and those who break the quarantine could face three months in jail.” #Coronavirus #COVID19: Northern Italy to quarantine 16 million people - @BBCNews https://www.bbc.com/news/world-middle-east-51787238 …",['bbcnews'],['https://www.bbc.com/news/world-middle-east-51787238'],[],0,2,1,"['#coronavirus', '#covid19']",[],https://twitter.com/MiguelGamino/status/1236488543003910146,False,,0,New York,,,,,,"[{'user_id': '100284732', 'username': 'MiguelGamino'}, {'user_id': '612473', 'username': 'BBCNews'}]",,,,
1236428160314544128,1236428160314544128,1583622419000,2020-03-08,01:06:59,שעון קיץ ירושלים,2762583461,kylemazzawunf,Kyle Mazza,,"New Jersey Department of Health notified the Maryland Department of Health (MDH) that a person confirmed to have #Coronavirus Disease 2019, or COVID-19, was in Maryland from February 27-March 1 attending the Conservative Political Action Conference (CPAC) in National Harbor.",[],[],[],0,1,0,['#coronavirus'],[],https://twitter.com/KyleMazzaWUNF/status/1236428160314544128,False,,0,New York,,,,,,"[{'user_id': '2762583461', 'username': 'KyleMazzaWUNF'}]",,,,
1236366375251259395,1236366375251259395,1583607689000,2020-03-07,21:01:29,שעון קיץ ירושלים,226631680,nycemergencymgt,NYC Emergency Management,NYC Office of Emergency Management (OEM),"NYC Emergency Management is continuing to coordinate with other City agencies in response to COVID-19. For additional information about coronavirus, visit  http://NYC.gov/coronavirus  or call @nyc311. pic.twitter.com/okGkR3GZTI – at NYC Office of Emergency Management (OEM)",['nyc311'],['http://NYC.gov/coronavirus'],"['https://pbs.twimg.com/media/ESh0pkzWoAAGnuw.jpg', 'https://pbs.twimg.com/media/ESh0p1SXgAcbvQ1.jpg', 'https://pbs.twimg.com/media/ESh0qI_XsAAgAwq.jpg', 'https://pbs.twimg.com/media/ESh0qZcWsAAdS2C.jpg']",16,54,101,[],[],https://twitter.com/nycemergencymgt/status/1236366375251259395,False,,0,New York,,,,,,"[{'user_id': '226631680', 'username': 'nycemergencymgt'}, {'user_id': '37683414', 'username': 'nyc311'}]",,,,
1236365716489723904,1236365716489723904,1583607532000,2020-03-07,20:58:52,שעון קיץ ירושלים,22042857,sabirs,Sabir Semerkant,,Will college students cancel their SPRING BREAK due to Corona Virus COVID-19? #COVID19 #SpringBreak pic.twitter.com/bFM5qDLq5L,[],[],[],0,0,1,"['#covid19', '#springbreak']",[],https://twitter.com/SabirS/status/1236365716489723904,False,,1,New York,,,,,,"[{'user_id': '22042857', 'username': 'SabirS'}]",,,,
1236342907721916417,1236342907721916417,1583602093000,2020-03-07,19:28:13,שעון קיץ ירושלים,500612543,palomaunicef,Paloma Escudero,,"Let’s protect ourselves and our dear ones from the virus as well as from the growing fear, rumors and stigma. #COVID19 #coronavirus @UNICEF @who https://twitter.com/UNICEF/status/1236158384400809989 …","['unicef', 'who']",['https://twitter.com/UNICEF/status/1236158384400809989'],[],0,2,5,"['#covid19', '#coronavirus']",[],https://twitter.com/PalomaUnicef/status/1236342907721916417,False,https://twitter.com/UNICEF/status/1236158384400809989,0,New York,,,,,,"[{'user_id': '500612543', 'username': 'PalomaUnicef'}, {'user_id': '33933259', 'username': 'UNICEF'}, {'user_id': '14499829', 'username': 'WHO'}]",,,,
1236339975370702848,1236339975370702848,1583601394000,2020-03-07,19:16:34,שעון קיץ ירושלים,500612543,palomaunicef,Paloma Escudero,,Coronavirus: nine reasons to be reassured  https://www.theguardian.com/world/2020/mar/07/coronavirus-reasons-to-be-reassured … #COVID19 #coronavirus,[],['https://www.theguardian.com/world/2020/mar/07/coronavirus-reasons-to-be-reassured'],[],0,1,4,"['#covid19', '#coronavirus']",[],https://twitter.com/PalomaUnicef/status/1236339975370702848,False,,0,New York,,,,,,"[{'user_id': '500612543', 'username': 'PalomaUnicef'}]",,,,
1236306943620374529,1236306943620374529,1583593519000,2020-03-07,17:05:19,שעון קיץ ירושלים,454311887,gormoexjourno,Ryan Gorman,,"INBOX: If you stop freaking out about #COVID19 and travel to our mostly empty conference, you'll get $100 in Bitcoin!

#coronavirus has event organizers worried, this one isn't even until October 😐  pic.twitter.com/N7xB6UZFAc",[],[],['https://pbs.twimg.com/media/ESg-nI-XkAAOWpu.jpg'],0,0,0,"['#covid19', '#coronavirus']",[],https://twitter.com/GormoExJourno/status/1236306943620374529,False,,0,New York,,,,,,"[{'user_id': '454311887', 'username': 'GormoExJourno'}]",,,,
1236161356811907072,1236161356811907072,1583558808000,2020-03-07,07:26:48,שעון קיץ ירושלים,19604028,euanrellie,Euan Rellie,,"President Trump's economic adviser Larry Kudlow is continuing to claim the COVID-19 coronavirus is ""contained""",[],[],[],1,0,0,[],[],https://twitter.com/euanrellie/status/1236161356811907072,False,,0,New York,,,,,,"[{'user_id': '19604028', 'username': 'euanrellie'}]",,,,
