,Date,name,tweet,death
0,2020-04-24,Donald J. Trump, i will be having a white house press conference today at 530 pm thank you,65853
1,2020-04-24,Donald J. Trump,  ,65853
2,2020-04-24,Donald J. Trump, i will never let our post office fail it has been mismanaged for years especially since the advent of the internet and modernday technology the people that work there are great and we re going to keep them happy healthy and well,65853
3,2020-04-24,Donald J. Trump, great conversation with president lenin moreno of the republic of ecuador we will be sending them desperately needed ventilators of which we have recently manufactured many and helping them in other ways they are fighting hard against coronavirus,65853
4,2020-04-24,Donald J. Trump, just spoke to president juan orlando hernandez of the republic of honduras we work closely together on the southern border will be helping him with his request for ventilators and testing,65853
5,2020-04-24,Donald J. Trump, great news randall stephenson the ceo of heavily indebted at t which owns and presides over fake news cnn is leaving or was forced out anyone who lets a garbage network do and say the things that cnn does should leave asap hopefully replacement will be much better,65853
6,2020-04-24,Donald J. Trump, i or vp never gave governor brian kemp an ok on those few businesses outside of the guidelines fake news spas beauty salons tattoo parlors barber shops should take a little slower path but i told the governor to do what is right for the great people of georgia usa,65853
7,2020-04-24,Donald J. Trump, just spoke to president nayib bukele of el salvador will be helping them with ventilators which are desperately needed they have worked well with us on immigration at the southern border,65853
8,2020-04-24,Donald J. Trump, just spoke to my friend president joko widodo of the republic of indonesia asking for ventilators which we will provide great cooperation between us,65853
9,2020-04-24,Donald J. Trump, our country wants to move safely forward there is a tremendous pent up demand we will open big,65853
10,2020-04-24,Donald J. Trump, the fake and totally corrupt news is after her as a means of getting to me she s smart and strong knows the truth already a heroine to many  ,65853
11,2020-04-24,Donald J. Trump, getting very good reviews of the job the federal government is doing on coronavirus ventilators building hospitals beds and yes testing have been handled incredibly well testing is getting exponentially better every day love seeing our country safely opening up,65853
12,2020-04-24,Donald J. Trump, important news  ,65853
13,2020-04-24,Donald J. Trump, disgraceful should join the republican party  ,65853
14,2020-04-24,Donald J. Trump, governor jimjusticewv is a tremendous fighter for the incredible people of west virginia big jim is strong on life the second amendment and building the wall with governors like jim america will recover and get back to business jim has my complete and total endorsement,65853
15,2020-04-24,Donald J. Trump, congressman stevestivers is doing a terrific job for the people of ohio he defends our borders supports our veterans strong on crime and the second amendment steve has my complete and total endorsement  ,65853
16,2020-04-24,Donald J. Trump, congressman bill posey is a tremendous fighter for the great state of florida he is a big supporter of our maga agenda strong on crime the second amendment and loves our veterans and law enforcement bill has my complete and total endorsement,65853
17,2020-04-24,Donald J. Trump, congressman miketurneroh is a strong supporter and fighter for the people of ohio he will help us maga he s strong on the border tough on crime will protect our vets and our great second amendment mike has my complete and total endorsement  ,65853
18,2020-04-24,Donald J. Trump, congressman troy_balderson is doing a great job for the people of ohio he will always protect your 2a defend our borders and support small business a great supporter of the maga agenda troy has my complete and total endorsement  ,65853
19,2020-04-24,Donald J. Trump, congressman davejoyceoh14 is a tremendous fighter for the great state of ohio he is tough on crime our border second amendment and helps us combat illegal drugs david has my complete and total endorsement  ,65853
20,2020-04-24,Donald J. Trump, congressman bradwenstrup is doing a tremendous job for the people of ohio he s a proud veteran and is strong on the border tough on crime the second amendment and supports small business brad has my complete and total endorsement  ,65853
21,2020-04-24,Donald J. Trump, my cochair in utah and a really great guy sean has my complete and total endorsement,65853
22,2020-04-24,Donald J. Trump, utah attorney general sean reyes seanreyesut is a fighter and hard worker for the great state of utah he is a big supporter of our maga agenda strong on crime the second amendment and loves our law enforcement,65853
23,2020-04-24,Donald J. Trump, congressman john curtis curtisut gets things done for utah john fights for small businesses will lower your taxes and will protect your second amendment he has my complete and total endorsement,65853
24,2020-04-24,Donald J. Trump, he s 100 prolife strong on 2a and loves our military and vets chris has my complete and total endorsement  ,65853
25,2020-04-24,Donald J. Trump, congressman chris stewart stewartforutah is a tremendous fighter for utah he served our country in the us air force and has been a strong supporter of our maga agenda,65853
26,2020-04-24,Donald J. Trump, congressman warren davidson vote_davidson is working very hard for the people of ohio he s a strong supporter of our military vets second amendment and maga agenda warren has my complete and total endorsement  ,65853
27,2020-04-24,Donald J. Trump, bill has my complete and total endorsement  ,65853
28,2020-04-24,Donald J. Trump, congressman bill johnson johnsonleads is an incredible fighter for the great state of ohio he s a proud veteran and a hard worker who cares for our veterans supports small business and is strong on the border and second amendment,65853
29,2020-04-23,Donald J. Trump, i will be having a white house press conference today at 545 pm thank you,65853
30,2020-04-23,Donald J. Trump,  ,65853
31,2020-04-23,Donald J. Trump,  ,65853
32,2020-04-23,Donald J. Trump,  ,65853
33,2020-04-23,Donald J. Trump, fully signed and ready to go  ,65853
34,2020-04-23,Donald J. Trump, please study this closely we saved many lives with our fast action on coronavirus  ,65853
35,2020-04-23,Donald J. Trump, we did it once we will quickly do it a second time  ,65853
36,2020-04-23,Donald J. Trump, thank you to harvard and all others  ,65853
37,2020-04-23,Donald J. Trump, foxandfriends we now have many ventilators to spare thank you to all  ,65853
38,2020-04-22,Donald J. Trump, i will be having a white house press conference today at 545 pm thank you,65853
39,2020-04-22,Donald J. Trump, cdc director was totally misquoted by fake news cnn on covid 19 he will be putting out a statement,65853
40,2020-04-22,Donald J. Trump, another false ad by the do nothing democrats almost all of their ads are false or misleading and the fake news loves it  ,65853
41,2020-04-22,Donald J. Trump, sleepy joe thought this was ok not me  ,65853
42,2020-04-22,Donald J. Trump, i have instructed the united states navy to shoot down and destroy any and all iranian gunboats if they harass our ships at sea,65853
43,2020-04-22,Donald J. Trump, states are safely coming back our country is starting to open for business again special care is and always will be given to our beloved seniors except me their lives will be better than ever we love you all,65853
44,2020-04-22,Donald J. Trump, happy birthday to the great cindy adams of the new york post cindy is 90 but looks 39 to me she is going strong,65853
45,2020-04-22,Donald J. Trump, i will be signing my executive order prohibiting immigration into our country today in the meantime even without this order our southern border aided substantially by the 170 miles of new border wall 27000 mexican soldiers is very tight including for human trafficking,65853
46,2020-04-22,Donald J. Trump, economic impact of covid19 foxandfriends very interesting analysis light at the end of the tunnel thank you,65853
47,2020-04-22,Donald J. Trump, harvard should give back the money now their whole endowment system should be looked at  ,65853
48,2020-04-21,Donald J. Trump, great new book just out by the former director of ice tom homan defend the border and save lives solving our most important humanitarian and security crisis great guy get your copy today  ,65853
49,2020-04-21,Donald J. Trump, i will be having a white house press conference today at 530 pm thank you,65853
50,2020-04-21,Donald J. Trump, to statelocal governments for lost revenues from covid 19 much needed infrastructure investments for bridges tunnels broadband tax incentives for restaurants entertainment sports and payroll tax cuts to increase economic growth,65853
51,2020-04-21,Donald J. Trump, i urge the senate and house to pass the paycheck protection program and health care enhancement act with additional funding for ppp hospitals and testing after i sign this bill we will begin discussions on the next legislative initiative with fiscal relief,65853
52,2020-04-21,Donald J. Trump, we will never let the great us oil gas industry down i have instructed the secretary of energy and secretary of the treasury to formulate a plan which will make funds available so that these very important companies and jobs will be secured long into the future,65853
53,2020-04-21,Donald J. Trump, 96 approval rating in the republican party thank you this must also mean that most importantly we are doing a good great job in the handling of the pandemic,65853
54,2020-04-21,Donald J. Trump, i ve had great ratings my whole life there s nothing unusual about that for me the white house news conference ratings are through the roof monday night football bachelor finale nytimes but i don t care about that i care about going around the fake news to the people,65853
55,2020-04-21,Donald J. Trump, it is amazing that i became president of the united states with such a totally corrupt and dishonest lamestream media going after me all day and all night either i m really good far better than the fake news wants to admit or they don t have nearly the power as once thought,65853
56,2020-04-21,Donald J. Trump, watched the first 5 minutes of poorly rated morning psycho on msdnc just to see if he is as nuts as people are saying he s worse such hatred and contempt i used to do his show all the time before the 2016 election then cut him off wasn t worth the effort his mind is shot,65853
57,2020-04-21,Donald J. Trump, great alan they are fake news  ,65853
58,2020-04-21,Donald J. Trump, 7 devastating revelations about crossfire hurricane in new releases   xp5knp8u52jtwitter the greatest political scam in american history,65853
59,2020-04-21,Donald J. Trump, in light of the attack from the invisible enemy as well as the need to protect the jobs of our great american citizens i will be signing an executive order to temporarily suspend immigration into the united states,65853
60,2020-04-21,Donald J. Trump, he is strong on crime the border and second amendment mike has my complete and total endorsement turn your ballots in now and track them watching for dishonesty report to law enforcement  ,65853
61,2020-04-21,Donald J. Trump, mikegarcia2020 will be a tremendous fighter for the us and the state of california an annapolis graduate he served our country as a highly decorated navy fighter pilot and will be a great congressman ca25 loves our military and vets,65853
62,2020-04-21,Donald J. Trump, he is strong on crime the border and second amendment tom has deep roots in wisconsin is a big tax cutter and will help me drain the swamp tom has my complete and total endorsement vote for tom tiffany  ,65853
63,2020-04-21,Donald J. Trump, tom tiffany tomtiffanywi is a great advocate for the incredible people of wisconsin wi07 we need tom in congress to help us make america great again he will fight for small business supports our incredible farmers loves our military and our vets,65853
64,2020-04-20,Donald J. Trump, i will be having a white house press conference today at 530 pm thank you,65853
65,2020-04-20,Donald J. Trump, testing testing testing again playing a very dangerous political game states not the federal government should be doing the testing but we will work with the governors and get it done this is easy compared to the fast production of thousands of complex ventilators,65853
66,2020-04-20,Donald J. Trump, last month all you heard from the radical left do nothing democrats was ventilators ventilators ventilators they screamed it loud clear thought they had us cold even though it was the state s task but everyone got their v s with many to spare now they scream,65853
67,2020-04-20,Donald J. Trump, received a very nice call from govtimwalz of minnesota we are working closely on getting him all he needs and fast good things happening,65853
68,2020-04-20,Donald J. Trump, congratulations to all of my many friends at the villages in florida on having done so well and with such great spirit during these rather unusual times so proud of everyone mark morse gary lester have really stepped up to the plate hope to see everyone soon,65853
69,2020-04-20,Donald J. Trump,  ,65853
70,2020-04-20,Donald J. Trump, brilliant a must watch repdancrenshaw  ,65853
71,2020-04-19,Donald J. Trump, white house news conference at 545 thank you,65853
72,2020-04-19,Donald J. Trump, thank you to my boy  ,65853
73,2020-04-19,Donald J. Trump, on february 19th there was a democratic debate in las vegas three words weren t said virus coronavirus or covid19 never came up bretbaier,65853
74,2020-04-19,Donald J. Trump, great book by senatortimscott  ,65853
75,2020-04-19,Donald J. Trump, foxnews dems say president trump is trying to open the united states economy too quickly but if i took even a little more time they would loudly chant that i am moving too slowly just political talking points for them for me it s about lives the future of our country,65853
76,2020-04-19,Donald J. Trump, nervous nancy is an inherently dumb person she wasted all of her time on the impeachment hoax she will be overthrown either by inside or out just like her last time as speaker wallace foxnews are on a bad path watch  ,65853
77,2020-04-19,Donald J. Trump, just like i was right on ventilators our country is now the king of ventilators other countries are calling asking for helpwe will i am right on testing governors must be able to step up and get the job done we will be with you all the way,65853
78,2020-04-19,Donald J. Trump, great credit must be given to fema and all of those that are helping our states make it big  ,65853
79,2020-04-19,Donald J. Trump, look forward to this  ,65853
80,2020-04-19,Donald J. Trump, congratulations af_academy  ,65853
81,2020-04-19,Donald J. Trump, great new book out by realktmcfarland revolution trump washington and we the people get your copy today  ,65853
82,2020-04-19,Donald J. Trump, will be online tomorrow morning at 1030am eastern watching jackngraham from prestonwood baptist in dallas texas you can join us at http prestonwoodorg  ,65853
83,2020-04-18,Donald J. Trump, china wants sleepy joe sooo badly they want all of those billions of dollars that they have been paying to the us back and much more joe is an easy mark their dream candidate  ,65853
84,2020-04-18,Donald J. Trump, i gave up on drudge a really nice guy long ago as have many others people are dropping off like flies  ,65853
85,2020-04-18,Donald J. Trump, the most often used phrase in the lamestream media by far is sources say or officials who spoke on the condition of anonymity or anything similar which allows fake news to make up a phony quote from a person who doesn t even exist the american people should demand names,65853
86,2020-04-18,Donald J. Trump, them happy or even a little bit satisfied they were rude and nasty this is their political playbook and they will use it right up to the election on november 3rd they will not change because they feel that this is the only way they can win america will not be fooled,65853
87,2020-04-18,Donald J. Trump, example vp mike pence held a conference call yesterday with all democrat senators he gave them everything that they would have wanted to hear in terms of gaining ground on the coronavirus but nothing that anyone could have said including it s over could have made,65853
88,2020-04-18,Donald J. Trump, no matter what you do for the do nothing democrats no matter how great a job you are doing they will only respond to their fake partners in the lamestream media in the negative even in a time of crisis i thought it would be different but it s not in fact it s even worse,65853
89,2020-04-18,Donald J. Trump, great news thank you  ,65853
90,2020-04-18,Donald J. Trump, thank you honeywell great job  ,65853
91,2020-04-18,Donald J. Trump, i will be having a white house press conference today at 500 pm thank you,65853
92,2020-04-18,Donald J. Trump, really nice to see this and what a great pick  ,65853
93,2020-04-18,Donald J. Trump, john james will be a great senator for michigan  ,65853
94,2020-04-18,Donald J. Trump, spending the morning speaking to fema and military relative to coronavirus also spoke to leaders of various countries including poland south korea and bahrain last night had a very gold conversation with the president of mexico on numerous topics border is very strong,65853
95,2020-04-18,Donald J. Trump, an incompetent political hack come back to washington take care of our great american workers  ,65853
