,Date,name,tweet,death
0,2020-02-29,Donald J. Trump, i will be having a 130 pm press conference at the white house to discuss the latest coronavirus developments thank you,5
1,2020-02-29,Donald J. Trump, thank you south carolina  ,5
2,2020-02-29,Donald J. Trump,  ,5
3,2020-02-29,Donald J. Trump,  ,5
4,2020-02-29,Donald J. Trump, south carolina was great a big really enthusiastic crowd,5
5,2020-02-29,Donald J. Trump, a socalled reporter named johnjharwood who bombed so badly in the 2016 presidential debates that i thought he was going to be immediately fired a mini mike type performance is now with fake news cnn a total loser,5
6,2020-02-29,Donald J. Trump, i hope we can get admiral ronnyjackson4tx of texas who served our country so well into the runoff election in tx13 ronny is strong on crime and borders great for our military and vets and will protect your 2a get out and vote for ronny on tuesday march 3rd,5
7,2020-02-29,Donald J. Trump, thank you to all of the incredible law enforcement officers in south carolina tonight we love you  ,5
8,2020-02-29,Donald J. Trump, it was my great honor to be back in south carolina tonight with thousands of hardworking american patriots who believe in faith family god and country thank you for a beautiful evening kag2020   t1s,5
9,2020-02-29,Donald J. Trump, i am pleased to announce the nomination of repratcliffe congressman john ratcliffe to be director of national intelligence dni would have completed process earlier but john wanted to wait until after ig report was finished john is an outstanding man of great talent,5
10,2020-02-29,Donald J. Trump, on my way to the great state of south carolina see everyone soon maga kag  ,5
11,2020-02-28,Donald J. Trump, nobody fights harder for montana than stevedaines steve is a close friend of mine a strong conservative and a tremendous supporter of our maga agenda he is strong on crime borders great for our military vets will protect your 2a steve has my complete endorsement,5
12,2020-02-28,Donald J. Trump, the dems are working hard to take the prized nomination away from bernie back room politics which bernie is not very good at his people will not let it happen again,5
13,2020-02-28,Donald J. Trump, mini mike is getting slammed his debates were perhaps the worst in presidential debating history a total phony who disavowed stop frisk after swearing by it for years and even recently he horribly overused it then dropped when running as a dem a total phony,5
14,2020-02-28,Donald J. Trump, we strongly stand with terrence  ,5
15,2020-02-28,Donald J. Trump,    ,5
16,2020-02-28,Donald J. Trump, you go around pennsylvania and you see trump signs everywhere the donald trump situation is bigger than the reagan revolution donald trump has inspired us rjharris15 whp580,5
17,2020-02-28,Donald J. Trump, worst polls just like in 2016 when they were so far off the mark are the foxnews polls why doesn t fox finally get a competent polling company,5
18,2020-02-28,Donald J. Trump, to the people of south carolina tom steyer is a joke laughed at by everyone a total incompetent he made money in coal now he hates coal did you see him fawning over crazy bernie has no chance a loser for south carolina doesn t deserve your vote,5
19,2020-02-28,Donald J. Trump, will be in the great state of south carolina tonight 700 pm for a really big rally best place to be is a trump rally see you later,5
20,2020-02-28,Donald J. Trump, federal court deals major blow to sanctuary cities foxnews in other words there will be no more federal tax dollars to states cities that will not cooperate with federal law enforcement ice this is big news funds will be cut off immediately make america great again,5
21,2020-02-28,Donald J. Trump, the do nothing democrats were busy wasting time on the immigration hoax anything else they could do to make the republican party look bad while i was busy calling early border flight closings putting us way ahead in our battle with coronavirus dems called it very wrong,5
22,2020-02-28,Donald J. Trump, so the coronavirus which started in china and spread to various countries throughout the world but very slowly in the us because president trump closed our border and ended flights very early is now being blamed by the do nothing democrats to be the fault of trump,5
23,2020-02-28,Donald J. Trump, so nice  ,5
24,2020-02-28,Donald J. Trump, diagnosis positive cnn is infected with trump derangement syndrome i m calling out cnn for irresponsibly politicizing what should be a unifying battle against a virus that doesn t choose sides trish_regan foxnews like i say they are fake news,5
25,2020-02-28,Donald J. Trump, word is that mini mike bloomberg performed so poorly in the two debates that he is thinking about dropping out of the democrat primary the fact is he was not true to himself and the public was able to quickly figure him out not a good experience for mini mike,5
26,2020-02-28,Donald J. Trump, congratulations and thank you to our great vice president all of the many professionals doing such a fine job at cdc all other agencies on the coronavirus situation only a very small number in us china numbers look to be going down all countries working well together,5
27,2020-02-28,Donald J. Trump, antitrump network cnn doing whatever it can to stoke a national coronavirus panic the far left network pretty much ignoring anyone who they interview who doesn t blame president trump trish_regan foxnews media refuses to discuss the great job our professionals are doing,5
28,2020-02-27,Donald J. Trump,  ,5
29,2020-02-27,Donald J. Trump, they spied on my campaign  ,5
30,2020-02-27,Donald J. Trump, repkevinbrady r of texas08 loves texas our country he has been a great congressman supporter of maga strong on crime border military vets and your 2a he is the best tax cutter in dc kevin has my complete total endorsement vote on march 3rd thank you,5
31,2020-02-27,Donald J. Trump,   t7m22s,5
32,2020-02-26,Donald J. Trump, nancy has allowed her district to go down more than any other in the usa hardly even recognizable  ,5
33,2020-02-26,Donald J. Trump, my two great friends proud of you both  ,5
34,2020-02-26,Donald J. Trump, eric i can live with that  ,5
35,2020-02-26,Donald J. Trump, piers i like you too  ,5
36,2020-02-26,Donald J. Trump, big rally in the great state of south carolina on friday see you there,5
37,2020-02-26,Donald J. Trump, every poll you look at shows that black support for president trump is growing realcandaceo mariabartiromo,5
38,2020-02-26,Donald J. Trump, big story big win except in the fake news which won t cover it  ,5
39,2020-02-26,Donald J. Trump, during a debate pocahontas was mean undisciplined mostly aiming at crazy bernie and mini mike they don t know how to handle her but i know she is a chocker steyer was a disaster who along with mini are setting records in s per vote just give me an opponent,5
40,2020-02-26,Donald J. Trump, crazy chaotic democrat debate last night fake news said biden did well even though he said half of our population was shot to death would be over for most mini mike was weak and unsteady but helped greatly by his many commercials which are not supposed to be allowed,5
41,2020-02-26,Donald J. Trump, i will be having a news conference at the white house on this subject today at 600 pm cdc representatives and others will be there thank you,5
42,2020-02-26,Donald J. Trump, low ratings fake news msdnc comcast cnn are doing everything possible to make the caronavirus look as bad as possible including panicking markets if possible likewise their incompetent do nothing democrat comrades are all talk no action usa in great shape cdcgov,5
43,2020-02-26,Donald J. Trump, just landed india was great trip very successful heading to the white house meetings and calls scheduled today cdcgov secazar and all doing a great job with respect to coronavirus briefing this afternoon,5
44,2020-02-26,Donald J. Trump, us acted on the coronavirus very very quickly gordon chang ingrahamangle,5
45,2020-02-26,Donald J. Trump, thank you  ,5
46,2020-02-26,Donald J. Trump, russia wants him to win  ,5
47,2020-02-26,Donald J. Trump, an absolute disgrace  ,5
48,2020-02-26,Donald J. Trump, 52 in the new rasmussen poll 95 approval rating in the republican party thank you,5
49,2020-02-26,Donald J. Trump, democrats talking point is that we are doing badly if the virus disappeared tomorrow they would say we did a really poor and even incompetent job not fair but it is what it is so far by the way we have not had one death let s keep it that way,5
50,2020-02-26,Donald J. Trump, cdc and my administration are doing a great job of handling coronavirus including the very early closing of our borders to certain areas of the world it was opposed by the dems too soon but turned out to be the correct decision no matter how well we do however the,5
51,2020-02-26,Donald J. Trump, that is because they cover your favorite president relatively well cnn msdnc are dying in the ratings  ,5
52,2020-02-26,Donald J. Trump, no surprise  ,5
53,2020-02-25,Donald J. Trump, true but we are getting it all done  ,5
54,2020-02-25,Donald J. Trump, a total miscarriage of justice  ,5
55,2020-02-25,Donald J. Trump, there has rarely been a juror so tainted as the forewoman in the roger stone case look at her background she never revealed her hatred of trump and stone she was totally biased as is the judge roger wasn t even working on my campaign miscarriage of justice sad to watch,5
56,2020-02-25,Donald J. Trump, cryin chuck schumer is complaining for publicity purposes only that i should be asking for more money than 25 billion to prepare for coronavirus if i asked for more he would say it is too much he didn t like my early travel closings i was right he is incompetent,5
57,2020-02-25,Donald J. Trump,   t9s,5
58,2020-02-25,Donald J. Trump, on all trump or trump related matters while elections have consequences i only ask for fairness especially when it comes to decisions made by the united states supreme court,5
59,2020-02-25,Donald J. Trump, sotomayor accuses gop appointed justices of being biased in favor of trump ingrahamangle foxnews this is a terrible thing to say trying to shame some into voting her way she never criticized justice ginsberg when she called me a faker both should recuse themselves,5
60,2020-02-25,Donald J. Trump, it has been a scam right from the beginning with the illegally started mueller report fisa the leaking lying more schiff should not have access to intelligence he is a corrupt pol amazing that they went to bernie sanders but not to president trump marthamaccallum,5
61,2020-02-25,Donald J. Trump, us intelligence official overstated assessment of russian efforts to help trump foxnews greggjarrett they supposedly told crazy bernie that russia was looking at him not me this is all a big scam between intel and the democrats they want bernie out hate trump,5
62,2020-02-25,Donald J. Trump, spelled giannocaldwell,5
63,2020-02-25,Donald J. Trump, great new book just out taken for granted how conservatives can win back americans that liberalism failed by gianni caldwell a young winner he will be at the ronald reagan library simi valley california on thursday at 6 pm pt check it out,5
64,2020-02-24,Donald J. Trump, totally correct  ,5
65,2020-02-24,Donald J. Trump, the coronavirus is very much under control in the usa we are in contact with everyone and all relevant countries cdc world health have been working hard and very smart stock market starting to look very good to me,5
66,2020-02-24,Donald J. Trump, set up by schiff s lies leaks same with the mueller witch hunt 3 years ago  ,5
67,2020-02-24,Donald J. Trump,    ,5
68,2020-02-24,Donald J. Trump, thank you narendramodi  ,5
69,2020-02-24,Donald J. Trump, thank you lori so true  ,5
70,2020-02-24,Donald J. Trump,                       l  ,5
71,2020-02-24,Donald J. Trump, our two national constitutions both begin with the same three beautiful words we the people that means that in america and india alike we honor respect trust empower and fight for the citizens we proudly serve  ,5
72,2020-02-24,Donald J. Trump,                                    ,5
73,2020-02-24,Donald J. Trump,                  8000         l                           l   t2s,5
74,2020-02-24,Donald J. Trump,                  ,5
75,2020-02-24,Donald J. Trump, 95 approval rating in the republican party a record 218 federal judges also a record 2 supreme court justices thank you,5
76,2020-02-24,Donald J. Trump,  ,5
77,2020-02-24,Donald J. Trump, crazy bernie and the democrats should see this i have done far more for the african american community than any president secured funding for hbcus criminal justice reform opportunity zones school choice record low unemployment and so much more the best is yet to come  ,5
78,2020-02-23,Donald J. Trump, jeff van drew is a courageous leader that left the do nothing democrats to better serve the great people of new jersey happy birthday congressmanjvd,5
79,2020-02-23,Donald J. Trump, are any democrat operatives the dnc or crooked hillary clinton blaming russia russia russia for the bernie sanders win in nevada if so i suggest calling bob mueller the 13 angry democrats to do a new mueller report democrat edition bob will get to the bottom of it,5
80,2020-02-23,Donald J. Trump, somebody please tell incompetent thanks for my high poll numbers corrupt politician adam shifty schiff to stop leaking classified information or even worse made up information to the fake news media someday he will be caught that will be a very unpleasant experience,5
81,2020-02-23,Donald J. Trump, look forward to being with all of my friends and supporters cpac on saturday february 29th kag2020  ,5
82,2020-02-23,Donald J. Trump, departing for india with melania  ,5
83,2020-02-23,Donald J. Trump, just another shifty schiff leak isn t there a law about this stuff  ,5
84,2020-02-23,Donald J. Trump, the kremlin is reportedly backing bernie sanders bid to win the white house jon scott foxnews why didn t somebody tell me this,5
85,2020-02-23,Donald J. Trump, looks like crazy bernie is doing well in the great state of nevada biden the rest look weak no way mini mike can restart his campaign after the worst debate performance in the history of presidential debates congratulations bernie don t let them take it away from you,5
86,2020-02-23,Donald J. Trump, look so forward to being with my great friends in india  ,5
87,2020-02-23,Donald J. Trump, wow great foresight  ,5
88,2020-02-22,Donald J. Trump,  ,5
89,2020-02-22,Donald J. Trump, democrats in the great state of nevada which because of the economy jobs the military vets i will win in november be careful of russia russia russia according to corrupt politician adam shifty schiff they are pushing for crazy bernie sanders to win vote,5
90,2020-02-22,Donald J. Trump, an investigation into nothing the wonderful trish_regan on the mueller witch hunt,5
91,2020-02-22,Donald J. Trump, incredible people great rally  ,5
92,2020-02-22,Donald J. Trump, good luck angela  ,5
93,2020-02-22,Donald J. Trump, simply put he choked  ,5
94,2020-02-22,Donald J. Trump, the reason for this is that the do nothing democrats using disinformation hoax number 7 don t want bernie sanders to get the democrat nomination and they figure this would be very bad for his chances it s all rigged again against crazy bernie sanders,5
95,2020-02-22,Donald J. Trump, msdnc comcast slime cnn and others of the fake media have now added crazy bernie to the list of russian sympathizers along with tulsigabbard jill stein of the green party both agents of russia they say but now they report president putin wants bernie or me to win,5
96,2020-02-22,Donald J. Trump, republicans are fighting for citizens from every background every community every walk of life we are the party of boundless optimism excitement energy enthusiasm we are welcoming americans of all parties political persuasions to join our incredible movement to maga  ,5
97,2020-02-22,Donald J. Trump, thank you las vegas nevada i was delighted to be back in a state i love with proud hardworking patriots with your help this november we are going to defeat the radical socialist democrats and we are going to win nevada in a landslide kag2020   t7s,5
98,2020-02-21,Donald J. Trump, on my way kag2020  ,5
99,2020-02-21,Donald J. Trump, so teamcavuto has very bad ratings on foxnews with his fake guests like abstoddard and others that still haven t figured it all out will he get the same treatment as his friend shepherd smith who also suffered from the ratings drought,5
100,2020-02-21,Donald J. Trump, senategop highest trump poll numbers ever thank you,5
101,2020-02-21,Donald J. Trump, mitch and i have made great progress coming back fast  ,5
102,2020-02-21,Donald J. Trump, four great candidates are under consideration at dni decision within next few weeks,5
103,2020-02-21,Donald J. Trump, great  ,5
