,word,count
10,coronavirus,132
19,covid19,119
568,covid2019,31
355,trump,26
569,coronavirusoutbreak,25
231,covid_19,21
440,coronavirusupdate,21
161,new,15
67,nyc,14
17,people,14
173,cases,13
83,could,12
225,us,11
114,de,11
72,positive,10
50,tests,10
681,coronavirusupdates,10
365,time,8
20,need,8
164,said,8
28,pandemic,8
8,get,8
24,given,8
570,demands,7
285,team,7
116,york,7
107,good,7
391,full,7
184,confirmed,7
9,tested,7
35,testing,7
575,lives,6
105,health,6
683,notice,6
206,spread,6
576,saved,6
572,criminally,6
573,negligent,6
882,place,6
136,like,6
210,system,6
571,inquiry,6
11,even,6
599,things,6
574,imagine,6
503,last,5
112,la,5
96,risk,5
319,economy,5
305,el,5
94,anyone,5
848,closed,5
84,pix11news,5
684,act,5
581,virus,4
311,look,4
685,always,4
584,morning,4
75,nycmayor,4
587,wcbs880,4
687,someone,4
68,update,4
931,nbcnewyork,4
80,march,4
595,business,4
79,worse,4
145,world,4
57,help,4
423,fox5ny,4
209,care,4
557,city,4
626,chinese,4
18,symptoms,4
509,china,4
31,today,4
48,day,4
121,en,4
608,else,4
308,one,4
298,next,4
749,best,3
887,something,3
886,put,3
885,2018,3
884,fired,3
138,everyone,3
883,better,3
253,manhattan,3
135,would,3
468,2020,3
260,island,3
115,nueva,3
682,thought,3
124,del,3
561,taking,3
249,deaths,3
152,saturday,3
201,take,3
686,blames,3
425,1030,3
460,hit,3
431,stop,3
183,updates,3
182,latest,3
624,force,3
533,happens,3
604,na,3
21,seriously,3
369,realdonaldtrump,3
718,many,3
218,around,3
512,back,3
538,wants,3
171,nj,3
526,empty,3
168,breaking,3
618,first,3
329,los,3
78,lot,3
849,restaurants,3
163,test,3
376,make,3
623,task,3
510,hard,2
511,want,2
255,brooklyn,2
214,needs,2
212,numbers,2
208,months,2
261,nice,2
259,staten,2
251,queens,2
224,affecting,2
226,join,2
230,aspects,2
232,stayathome,2
915,right,2
716,failure,2
717,promptly,2
719,needless,2
720,hands,2
909,complains,2
242,measures,2
907,bars,2
905,anything,2
243,unicef,2
865,times,2
895,players,2
343,para,2
441,learn,2
354,pressconference,2
357,tell,2
823,political,2
433,start,2
775,total,2
427,major,2
779,ps4,2
372,either,2
373,die,2
374,trying,2
375,let,2
378,never,2
379,sunshine,2
421,talks,2
790,free,2
410,t2d,2
393,nygovcuomo,2
394,leadership,2
409,t1d,2
396,diabetes,2
408,http,2
398,increase,2
406,everydayhealth,2
401,say,2
443,stay,2
445,possible,2
271,way,2
837,contain,2
278,3,2
279,pm,2
280,facebook,2
880,psa,2
284,general,2
289,questions,2
297,payments,2
466,americans,2
301,without,2
304,far,2
463,affected,2
462,states,2
456,week,2
758,tool,2
851,via,2
325,death,2
330,impuestos,2
765,taken,2
843,thinks,2
842,stimulate,2
841,western,2
840,package,2
839,stimulus,2
838,economic,2
339,se,2
205,reduce,2
405,illness,2
705,enough,2
37,lots,2
967,street,2
567,nothing,2
151,crazy,2
154,socialdistancing,2
38,two,2
155,tonight,2
548,home,2
26,amid,2
36,parking,2
995,cbsnewyork,2
544,companies,2
103,heroes,2
540,ceo,2
621,come,2
551,hospitals,2
552,saying,2
589,careful,2
602,trumpers,2
56,masks,2
46,150,2
605,canada,2
555,government,2
143,please,2
51,store,2
141,tips,2
140,5,2
975,icymi,2
134,safe,2
131,keep,2
606,real,2
560,great,2
102,become,2
619,members,2
129,692692,2
200,says,2
937,govmurphy,2
77,going,2
76,april,2
588,news,2
16,normal,2
192,ny,2
693,tariffs,2
85,wanted,2
25,issue,2
582,specific,2
188,hospitalized,2
592,covering,2
97,crisis,2
69,sunday,2
950,age,2
534,close,2
633,local,2
532,long,2
593,ass,2
531,concern,2
186,10356,2
404,serious,2
71,citywide,2
12,though,2
769,ht,1
664,economists,1
663,markit,1
770,charlesornstein,1
771,jersey,1
762,patients,1
661,officer,1
763,unless,1
768,near,1
656,grateful,1
767,prepared,1
764,drastic,1
766,use,1
658,rikers,1
659,inmate,1
662,ihs,1
772,89,1
660,correction,1
657,grocerystores,1
651,guys,1
773,overnight,1
655,thankyou,1
784,competition,1
785,story,1
