,word,count
6,coronavirus,63
15,covid19,58
238,covid2019,21
239,coronavirusoutbreak,19
146,coronavirusupdate,15
52,covid_19,11
111,trump,10
83,people,8
133,could,8
114,full,7
240,demands,7
153,de,7
246,saved,6
38,tests,6
241,inquiry,6
245,lives,6
244,imagine,6
243,negligent,6
30,cases,6
242,criminally,6
18,new,6
34,confirmed,5
219,nyc,5
189,get,5
385,coronavirusupdates,5
21,said,4
184,china,4
101,time,4
320,many,3
158,en,3
136,stop,3
90,one,3
213,happens,3
87,el,3
206,empty,3
32,york,3
338,best,3
266,na,3
109,die,2
318,act,2
319,promptly,2
110,trying,2
321,needless,2
228,saying,2
322,deaths,2
323,hands,2
354,total,2
75,payments,2
223,even,2
222,home,2
160,nueva,2
211,concern,2
186,hit,2
105,realdonaldtrump,2
3,masks,2
187,hard,2
188,want,2
432,wcbs880,2
4,help,2
410,nbcnewyork,2
190,back,2
93,tell,2
212,long,2
20,test,2
317,failure,2
64,unicef,2
47,health,2
363,political,2
261,things,2
144,today,2
386,psa,2
37,says,2
39,take,2
308,tested,2
309,enough,2
44,spread,2
177,last,2
46,months,2
307,symptoms,2
81,without,2
270,team,2
292,tariffs,2
378,times,2
155,los,2
289,us,2
237,nothing,2
413,positive,2
362,aspects,1
370,february,1
346,mood,1
366,level,1
356,coronavirususa,1
345,keeping,1
344,world,1
347,stayathomechallenge,1
364,leanings,1
365,influence,1
369,found,1
357,face,1
348,parents,1
349,voicesofyouth,1
350,jersey,1
352,overnight,1
360,checked,1
368,poll,1
367,npr,1
351,89,1
359,facts,1
355,thread,1
353,267,1
358,mask,1
361,bizarre,1
0,donating,1
343,around,1
311,anyone,1
306,pence,1
305,presidentialguidance,1
304,trumppressconference,1
303,sick,1
302,make,1
301,guidance,1
300,presidential,1
299,referring,1
298,stage,1
297,sycophants,1
296,companies,1
295,american,1
294,americans,1
293,pay,1
291,dollars,1
290,billions,1
288,paying,1
287,lie,1
286,repeated,1
285,grocerystores,1
284,grateful,1
310,week,1
312,wanted,1
342,young,1
313,lies,1
