,word,count
5,coronavirus,1445
6,covid19,1442
64,new,208
160,news,176
97,pandemic,156
21,http,142
24,people,122
148,trump,116
324,us,114
574,de,90
29,deaths,85
382,cases,80
104,one,70
356,nyc,70
687,york,67
497,help,67
20,patients,67
1824,covid_19,66
753,via,61
320,latest,60
82,crisis,56
389,state,56
94,covid,56
384,health,54
51,get,54
811,death,53
301,world,53
162,today,51
243,positive,50
179,fight,50
423,update,49
203,time,48
63,died,48
599,hospital,48
465,spread,47
221,live,45
8,could,45
526,nt,45
475,many,45
284,watch,44
386,workers,42
873,says,41
730,city,41
157,like,40
1132,medical,40
817,first,39
233,home,39
231,outbreak,39
976,read,38
329,amid,38
632,know,38
568,la,38
14,virus,37
839,work,37
106,response,37
242,tested,37
441,testing,36
2266,ventilator,35
111,way,35
206,day,34
924,need,34
446,days,33
2054,symptoms,33
676,en,33
248,good,32
285,updates,32
847,government,31
1436,toll,31
641,support,30
837,see,30
55,said,30
115,april,30
513,may,30
244,dr,29
385,care,29
1221,novel,29
715,nj,29
833,made,29
81,even,28
649,according,28
1962,healthcare,28
731,due,28
135,daily,28
56,would,28
990,say,28
72,data,27
1246,impact,27
748,ny,26
1605,protect,25
133,president,25
899,utm_sourcetwitter,25
1,total,25
26,country,25
175,1,24
222,die,24
350,information,24
1609,stay,24
49,test,24
1261,federal,23
2142,still,23
973,reporters,23
158,article,23
634,public,23
258,weeks,23
418,also,23
269,fighting,23
1570,around,23
669,face,22
118,et,22
136,briefing,22
535,sick,22
35,someone,22
810,states,22
467,social,22
3,2,22
4,million,22
984,cuomo,22
1346,lives,21
404,10,21
577,el,21
564,los,21
972,sahara,21
691,residents,21
2265,center,21
443,jersey,21
370,questions,21
36,want,21
1209,vaccine,21
2006,abc7ny,21
1579,utm_mediumsocial,21
201,hours,21
890,americans,21
1683,ventilators,20
204,every,20
429,tests,20
943,que,20
563,disease,20
140,including,20
2418,vulnerable,20
838,doctors,20
0,global,20
109,next,20
1445,economy,20
125,thanks,20
368,back,20
264,number,19
102,make,19
954,e,19
445,call,19
736,video,19
1355,front,19
297,using,19
1174,shows,19
877,report,19
1217,china,19
997,nygovcuomo,19
713,coronaviruspandemic,19
1310,covid2019,19
582,para,19
1248,communities,19
1573,important,18
25,across,18
738,lagos,18
1438,week,18
212,great,18
311,lockdown,18
31,family,18
114,monday,18
1155,critical,18
892,think,18
164,house,18
1650,take,18
542,stayhome,18
293,years,18
3098,food,18
895,long,17
1138,staff,17
1143,confirmed,17
273,without,17
2442,doctor,17
19,hiv,17
62,since,17
108,join,17
1375,treatment,17
1425,icu,17
376,go,17
256,past,17
980,women,17
2225,right,17
292,20,17
1255,hospitals,17
34,lost,17
1240,countries,17
40,story,16
965,breaking,16
360,complications,16
1085,discuss,16
822,two,16
922,resources,16
1089,nigeria,16
1093,italy,16
1454,end,16
1974,lexisnexis,16
907,recovery,16
756,keep,16
474,working,16
152,early,16
1476,newyork,16
1352,national,16
856,risk,16
557,person,16
319,check,16
866,island,16
2061,experience,16
818,last,15
2617,facebook,15
262,numbers,15
536,please,15
99,everyone,15
245,fauci,15
1606,families,15
1299,mayor,15
2555,black,15
1479,dies,15
692,far,15
2935,use,15
1998,eu,15
338,together,15
1063,uk,15
1190,might,15
272,life,15
1171,likely,15
215,let,15
514,find,15
854,children,15
775,provide,14
647,challenges,14
717,stop,14
283,thread,14
693,higher,14
750,hit,14
3018,going,14
260,nation,14
468,economic,14
618,behind,14
589,talk,14
598,times,14
457,un,14
52,march,14
1781,del,14
90,task,14
217,experts,14
91,force,14
1216,plasma,14
2073,affected,14
163,white,14
1765,quarantine,14
2241,change,14
2210,treat,14
2115,case,14
1793,nurses,14
633,best,13
1101,full,13
208,realdonaldtrump,13
1507,piece,13
1165,yorkers,13
1317,american,13
620,15,13
1173,study,13
86,business,13
2031,5,13
2072,easter,13
112,show,13
707,patient,13
801,officials,13
1345,putting,13
2127,hope,13
375,recovered,13
751,homes,13
511,related,13
1741,reports,13
2750,really,13
2722,services,13
425,2020,13
2039,bad,12
3636,african,12
970,another,12
648,community,12
1227,guidance,12
830,3,12
1379,drug,12
2264,tracking,12
2717,free,12
1023,much,12
1280,por,12
2214,happy,12
1011,news12,12
1686,open,12
1616,flattenthecurve,12
343,media,12
1329,regime,12
380,nearly,12
1086,tips,12
4341,wednesday,12
295,yacht,12
530,distancing,12
223,ever,12
287,efforts,12
604,feel,12
289,rothberg,12
224,able,12
2367,research,12
1005,coming,12
522,shares,12
268,companies,12
1433,governor,12
1395,hands,11
2099,frontline,11
1938,trials,11
746,ncdcgov,11
65,already,11
1668,united,11
1685,learn,11
1562,nycmayor,11
400,masks,11
383,among,11
1522,answer,11
433,better,11
1578,utm_termautofeed,11
483,medtwitter,11
3404,things,11
640,university,11
492,businesses,11
1988,never,11
2041,talking,11
2075,prevention,11
4288,icymi,11
757,safe,11
2559,population,11
1181,infected,11
1187,least,11
1103,believe,11
912,mental,11
172,political,11
825,yet,11
1237,schools,11
1245,severe,11
813,gov,11
2748,local,11
1064,usa,11
2259,current,11
979,release,11
1009,news12bx,11
1010,news12bk,11
1031,pay,11
1020,lot,11
3097,donate,11
2621,listen,11
37,share,10
918,w,10
30,friends,10
591,helping,10
6526,latscovid19journal,10
1525,put,10
1980,cdc,10
1323,per,10
193,cnn,10
2368,top,10
928,especially,10
549,explains,10
553,dying,10
1039,others,10
1798,protective,10
417,relief,10
45,sarscov2,10
486,second,10
298,build,10
44,whether,10
494,ways,10
2598,measures,10
455,must,10
2720,governments,10
39,hear,10
2002,34,10
2395,washingtonpost,10
1348,thank,10
2366,issues,10
2056,reported,10
729,employees,10
787,place,10
1213,gives,10
1205,team,10
2920,nurse,10
744,healthyathome,10
1231,respond,10
682,les,10
2201,part,10
2311,discharged,10
1306,question,10
765,emergency,10
2144,needed,10
2884,started,10
121,ama,10
119,ask,10
510,changes,9
725,school,9
726,50,9
2116,needs,9
491,small,9
2640,history,9
1347,line,9
971,14,9
3031,coronavirusnyc,9
808,immunity,9
2624,calls,9
1305,big,9
1729,subscribe,9
1577,stream,9
1332,orders,9
1595,despite,9
986,ct,9
1071,always,9
2004,25,9
933,stayathome,9
1965,caused,9
2854,bronx,9
1995,recent,9
628,supplies,9
2916,highest,9
1981,high,9
608,stand,9
1136,illness,9
602,nothing,9
600,felt,9
645,continues,9
1467,yesterday,9
1952,interview,9
2094,tweet,9
1220,control,9
3494,heroes,9
1929,writes,9
2777,lines,9
3317,respiratory,9
1226,general,9
1820,con,9
3555,contact,9
1388,technology,9
690,100,9
540,mother,9
3274,thinks,9
2996,told,9
1617,makes,9
120,anything,9
200,give,9
210,done,9
3899,human,9
213,step,9
395,nursing,9
151,act,9
431,getting,9
4419,delivery,9
129,liberty,9
128,libertarian,9
127,larrysharpe,9
124,account,9
387,sunday,9
9,kill,9
93,trumppressconference,9
337,online,9
95,coronavirusupdates,9
4070,rates,9
2262,legislative,8
98,different,8
3387,sba,8
2363,access,8
2333,father,8
103,sure,8
2322,queens,8
174,coronavirusupdate,8
2273,records,8
2270,less,8
166,called,8
1358,buy,8
