,word,count
13,great,94
10,thank,48
166,trump,39
255,president,39
425,new,30
134,bernie,26
31,mini,26
14,big,25
36,news,25
35,fake,25
224,democrats,25
229,hoax,25
138,people,25
223,nothing,24
32,mike,24
943,impeachment,24
282,democrat,23
182,foxnews,23
46,country,20
754,iowa,20
234,party,20
179,like,20
222,america,20
28,going,19
233,republican,19
55,military,19
38,total,18
52,strong,18
107,state,18
127,endorsement,17
464,never,17
106,way,17
94,would,17
175,us,17
515,mueller,17
41,get,16
47,well,16
420,russia,16
108,see,16
198,crazy,16
59,vote,16
538,want,16
293,many,16
126,complete,15
56,vets,15
748,congress,15
348,win,15
235,look,15
111,maga,14
58,2a,14
153,even,14
128,dems,14
239,border,13
12,carolina,13
437,keep,13
453,done,13
318,campaign,13
137,good,13
146,history,13
129,working,12
180,far,12
5,house,12
285,true,11
67,tonight,11
368,last,11
532,help,11
15,really,11
8,coronavirus,11
194,money,11
221,make,11
296,job,11
276,bloomberg,10
593,record,10
236,bad,10
1415,hampshire,10
216,states,10
322,loves,10
521,corrupt,10
330,usa,10
678,wonderful,10
37,cnn,10
573,witch,10
70,back,10
384,today,10
11,south,10
73,american,10
152,years,10
735,ever,9
109,everyone,9
279,two,9
26,debates,9
248,china,9
978,supports,9
672,jobs,9
125,agenda,9
596,also,9
202,rally,9
274,say,9
140,happen,9
351,debate,9
163,go,9
827,think,9
88,john,9
829,senator,9
227,time,9
178,polls,9
357,know,9
800,got,8
908,senate,8
158,running,8
903,joe,8
455,justice,8
149,stop,8
469,judge,8
525,sanders,8
203,best,8
147,phony,8
802,must,8
512,scam,8
467,totally,8
204,place,8
49,election,8
40,hope,8
53,crime,8
339,every,8
310,much,8
301,numbers,8
291,congratulations,8
369,night,8
998,trial,8
977,always,8
101,report,8
44,texas,8
1113,wall,7
395,including,7
436,one,7
315,media,7
232,could,7
308,left,7
519,schiff,7
428,approval,7
300,number,7
1003,foxandfriends,7
283,primary,7
753,votes,7
370,said,7
857,york,7
438,administration,7
461,stone,7
251,countries,7
413,respect,7
327,nancy,7
261,nice,7
1259,virginia,7
1258,west,7
141,getting,7
85,nomination,7
81,kag2020,7
69,honor,7
1253,manchin,7
677,investigation,6
851,long,6
122,conservative,6
617,better,6
1260,partisan,6
192,incompetent,6
462,case,6
1250,voted,6
719,radical,6
495,united,6
671,economy,6
429,rating,6
133,away,6
536,looking,6
131,take,6
1248,romney,6
206,federal,6
207,court,6
915,deal,6
484,right,6
649,forward,6
657,another,6
91,national,6
639,high,6
340,poll,6
711,political,6
673,november,6
110,soon,6
1255,pelosi,6
979,continue,6
392,everything,6
875,arizona,6
4,white,6
63,incredible,6
764,fully,6
64,law,6
628,nevada,6
771,jury,6
460,roger,6
956,taking,6
574,hunt,6
954,run,6
405,india,6
881,taxes,6
1,pm,6
54,borders,6
139,let,6
24,2016,5
23,badly,5
104,man,5
25,presidential,5
1103,work,5
245,called,5
1089,since,5
546,americans,5
700,republicans,5
1307,swamp,5
284,fact,5
768,paid,5
390,msdnc,5
377,weak,5
57,protect,5
65,enforcement,5
68,love,5
360,disaster,5
775,colorado,5
343,support,5
419,ingrahamangle,5
333,friends,5
1252,person,5
427,95,5
113,nobody,5
682,put,5
1045,security,5
745,weeks,5
734,highest,5
387,others,5
1188,fantastic,5
231,else,5
193,made,5
199,chance,5
638,thanks,5
726,still,5
169,donald,5
844,lied,5
120,friend,5
1401,9,5
707,energy,5
230,anything,5
841,iran,5
144,worst,5
1161,greatest,5
818,real,5
514,illegally,5
833,winning,5
1000,jackson,4
435,fair,4
959,remember,4
590,serve,4
34,performance,4
209,major,4
309,pretty,4
6,discuss,4
433,tomorrow,4
919,show,4
238,early,4
1374,bill,4
297,cdc,4
1186,actually,4
587,fight,4
237,calling,4
625,hillary,4
136,politics,4
74,patriots,4
942,hunts,4
143,perhaps,4
761,trade,4
822,mccabe,4
1015,foreperson,4
1017,lawyer,4
757,farmers,4
334,proud,4
666,looks,4
421,wants,4
77,family,4
1578,transcripts,4
79,beautiful,4
623,dnc,4
616,leader,4
1432,year,4
80,evening,4
624,crooked,4
752,count,4
90,director,4
124,supporter,4
388,low,4
610,yet,4
1079,economic,4
212,cities,4
599,community,4
739,fast,4
738,coming,4
62,3rd,4
1236,north,4
1093,daytona,4
1094,500,4
253,world,4
874,easy,4
1285,lot,4
247,started,4
246,wrong,4
474,schumer,4
543,taken,4
389,ratings,4
473,chuck,4
112,kag,4
644,information,4
889,second,4
349,except,4
516,fisa,4
647,caught,4
288,quickly,4
1063,whole,4
447,matter,4
997,order,4
1518,points,4
568,market,4
964,illegal,4
92,intelligence,4
798,zero,4
160,strongly,4
130,hard,4
445,correct,4
98,wanted,4
566,smart,4
213,words,4
393,possible,4
27,thought,4
