,word,count
16,coronavirus,129
15,covid19,120
21,new,45
23,case,36
22,nyc,34
29,york,27
17,breaking,27
230,positive,21
240,westchester,21
245,manhattan,21
246,woman,21
14,travel,21
27,confirmed,18
232,man,18
60,department,15
36,emergency,13
94,virus,12
28,cases,12
34,pix11news,12
235,county,12
253,symptoms,12
254,attends,12
343,first,12
236,hospitalized,12
37,management,10
251,update,9
61,health,9
385,iran,9
368,tested,9
289,traveled,9
92,due,9
66,disease,9
274,showing,9
19,says,9
269,works,9
303,nygovcuomo,9
227,recent,9
18,nycmayor,9
214,e,9
20,1,9
247,also,9
30,city,9
119,one,8
83,information,6
273,child,6
82,additional,6
278,school,6
78,continuing,6
88,college,6
375,took,6
279,riverdale,6
272,midtown,6
81,response,6
378,apartment,6
190,patient,6
284,2nd,6
148,care,6
153,regarding,6
158,novel,6
328,scaled,6
164,panel,6
165,discussion,6
336,every,6
167,leadership,6
338,across,6
168,medicine,6
74,conference,6
121,even,6
169,infection,6
170,prevention,6
346,isolated,6
294,may,6
286,old,6
271,firm,6
146,markets,6
258,test,6
264,take,6
42,people,6
41,italy,6
270,law,6
48,break,6
49,quarantine,6
8,ones,6
256,university,6
7,international,6
220,cnn,6
6,especially,6
45,home,6
65,person,6
268,w,6
2,state,6
208,gripe,6
63,maryland,6
38,oem,4
35,office,4
310,cuomo,3
252,student,3
314,6,3
313,sao,3
250,total,3
249,six,3
248,illness,3
301,whereabouts,3
244,neighbor,3
309,governor,3
302,abc7ny,3
312,ja,3
304,speak,3
305,9am,3
311,announced,3
242,son,3
306,live,3
243,daughter,3
307,second,3
308,50s,3
315,mortes,3
297,commutes,3
300,track,3
299,trying,3
267,flyers,3
266,attached,3
265,look,3
275,tbd,3
276,location,3
277,another,3
263,friends,3
262,hello,3
261,saying,3
280,7,3
260,father,3
281,coworkers,3
259,results,3
282,worthy,3
283,followup,3
257,waiting,3
285,50year,3
287,resident,3
288,recently,3
290,miami,3
291,tests,3
292,covid19coronavirus,3
293,suggesting,3
295,community,3
296,spread,3
298,officials,3
255,yeshiva,3
0,stronglyworded,3
340,unfpa,3
316,por,3
383,precautions,3
393,among,3
392,deaths,3
391,66,3
390,inside,3
389,quarantined,3
388,transit,3
387,mass,3
386,use,3
384,returning,3
382,proper,3
317,nos,3
381,worker,3
380,tells,3
379,husband,3
377,car,3
376,private,3
374,plane,3
373,contagious,3
372,believe,3
371,tuesday,3
394,1501,3
395,known,3
396,mild,3
397,reason,3
416,abroad,3
415,traveling,3
414,contracted,3
413,thirties,3
412,late,3
411,learned,3
410,evening,3
409,globe,3
408,thousands,3
407,tens,3
406,sickened,3
405,result,3
404,confirms,3
403,ap,3
402,hands,3
401,washing,3
400,sure,3
399,make,3
398,panic,3
370,back,3
369,came,3
367,39year,3
342,know,3
339,un_women,3
337,girl,3
335,srhr,3
334,genderequality,3
333,fight,3
332,denmark,3
331,precuations,3
330,session,3
329,1day,3
327,un,3
326,gathering,3
325,csw64,3
324,moro,3
323,onde,3
322,nova,3
321,em,3
320,confirmado,3
319,caso,3
318,eua,3
341,rasmusprehn,3
344,30s,3
366,consider,3
345,lives,3
365,factors,3
364,upcoming,3
363,info,3
362,good,3
361,really,3
360,physician,3
359,practicing,3
358,blogger,3
357,post,3
356,factbased,3
355,comprehensive,3
354,coronaoutbreak,3
353,nbcnewyork,3
352,igshid2e3r6r82v3l5,3
351,episode,3
350,full,3
349,masks,3
348,advice,3
347,cdcgov,3
241,wife,3
209,para,3
239,3rd,3
131,figures,3
105,nine,3
104,unicef,3
103,stigma,3
102,rumors,3
101,fear,3
100,growing,3
99,well,3
98,dear,3
97,protect,3
96,let,3
95,springbreak,3
93,corona,3
91,spring,3
90,cancel,3
89,students,3
87,nyc311,3
86,call,3
85,http,3
84,visit,3
106,reasons,3
107,reassured,3
