,word,count
5,coronavirus,174
6,covid19,155
128,trump,65
387,covid_19,56
411,nationalemergency,33
469,trumpspeech,31
410,covid,19
257,tested,19
61,nyc,17
523,emergency,16
527,right,16
118,listening,15
521,declares,15
522,national,15
529,moron,15
524,think,15
528,fucking,14
520,speak,14
525,rex,14
526,tillerson,14
530,trumptheworstpresidentever,14
206,new,13
14,de,13
117,people,12
60,says,12
249,pandemic,11
355,health,10
89,day,10
342,thank,10
159,outbreak,9
123,like,8
58,nycmayor,8
57,wcbs880,8
621,coronaviruspandemic,8
519,coronaoutbreak,8
208,testing,8
42,time,8
136,please,8
195,due,7
301,latest,7
192,look,7
228,unicef,7
419,positive,7
464,bad,6
250,president,6
174,continue,6
62,schools,6
169,spread,6
463,watching,6
380,ny,6
158,response,6
466,placement,6
130,care,6
12,e,6
467,speech,6
468,declaring,6
465,product,6
163,cases,6
129,gop,6
473,lies,6
3,sobre,5
389,keep,5
75,nygovcuomo,5
95,crisis,5
484,ability,5
16,que,5
386,york,5
808,nba,5
648,coronavirusupdate,5
161,least,5
553,take,5
333,working,5
374,need,5
531,feel,5
376,forward,5
248,http,5
658,say,5
377,seeing,5
56,zero,5
509,last,5
312,march,4
283,la,4
347,friday,4
371,sick,4
369,provide,4
367,plan,4
393,home,4
103,open,4
120,us,4
973,also,4
448,novel,4
441,city,4
270,today,4
181,tonight,4
189,anyone,4
719,virus,4
170,leave,4
661,someone,4
210,safe,4
29,vai,4
221,every,4
226,countries,4
36,dr,4
85,country,4
59,mayor,4
63,close,4
490,needs,4
489,exactly,4
488,pictures,4
487,hundreds,4
471,one,4
475,opens,4
486,takes,4
212,es,3
304,made,3
277,los,3
276,por,3
205,2020,3
321,team,3
316,public,3
267,see,3
340,information,3
324,heading,3
233,help,3
235,make,3
327,europe,3
252,come,3
372,employees,3
997,related,3
889,statement,3
532,sycophant,3
533,pence,3
534,course,3
535,begins,3
536,praising,3
537,dear,3
538,leader,3
539,skies,3
561,community,3
584,threat,3
364,email,3
875,well,3
623,quarantine,3
839,season,3
812,games,3
673,del,3
802,situation,3
703,common,3
762,2,3
754,fears,3
923,change,3
512,soon,3
508,equipped,3
507,prepared,3
365,company,3
366,action,3
368,question,3
370,paid,3
373,might,3
375,selfisolate,3
388,nycschools,3
396,world,3
401,global,3
404,read,3
412,covid2019,3
413,would,3
418,school,3
439,blasio,3
478,federal,3
485,lead,3
499,want,3
505,nation,3
506,better,3
176,quickly,3
747,stay,3
151,bill,3
64,starting,3
38,fauci,3
93,china,3
132,economy,3
131,business,3
8,com,3
66,first,3
50,breaking,3
113,nonsensational,3
1145,cuomo,3
33,ficar,3
39,even,3
81,italy,3
79,week,3
285,contra,2
1024,concerns,2
314,end,2
315,great,2
139,second,2
459,away,2
317,service,2
144,transmission,2
19,para,2
456,dems,2
461,weekend,2
433,safety,2
322,wuhan,2
275,days,2
432,part,2
903,measures,2
540,next,2
906,characterization,2
308,suspend,2
816,important,2
442,amid,2
818,news,2
819,media,2
815,best,2
452,postponed,2
392,healthy,2
915,level,2
660,exposed,2
914,knew,2
87,deaths,2
826,basketball,2
902,families,2
445,coronavirusnyc,2
829,going,2
1033,coronavirusoutbreak,2
443,said,2
175,go,2
970,handles,2
428,closed,2
901,children,2
871,kroger,2
114,leadership,2
746,let,2
600,officials,2
110,appreciate,2
599,organization,2
884,soap,2
984,events,2
883,hands,2
398,diseases,2
382,death,2
383,known,2
397,infectious,2
989,forbes,2
882,wash,2
588,financial,2
105,saying,2
394,disarmed,2
880,updates,2
119,good,2
1,video,2
99,confirmed,2
350,hospitalized,2
565,following,2
632,se,2
1162,cotton,2
416,student,2
341,fault,2
414,found,2
345,since,2
348,30,2
617,given,2
867,way,2
616,priority,2
614,call,2
613,number,2
24,jovens,2
357,pix11news,2
580,wall,2
581,called,2
995,announced,2
807,two,2
919,cdcgov,2
1059,work,2
220,solidarity,2
763,south,2
764,bronx,2
209,staying,2
211,grande,2
160,state,2
49,listen,2
216,italian,2
717,cover,2
157,senate,2
200,bring,2
222,night,2
146,connecticut,2
43,person,2
40,money,2
777,via,2
231,borders,2
37,anthony,2
72,update,2
201,coronapocalypse,2
199,nt,2
483,wannabe,2
1105,newyork,2
178,hoboken,2
179,shutting,2
749,others,2
172,restaurants,2
183,nbcnewyork,2
751,things,2
55,rate,2
753,either,2
171,bars,2
198,ca,2
755,result,2
756,told,2
757,acts,2
733,nyccoronavirus,2
758,addressing,2
759,declared,2
196,prep,2
65,tomorrow,2
153,house,2
223,window,2
702,face,2
789,questions,2
74,live,2
477,gutted,2
476,mouth,2
251,test,2
149,talk,2
253,back,2
76,tells,2
474,tweets,2
258,yesterday,2
259,spain,2
78,coming,2
470,neither,2
264,shut,2
683,spreading,2
28,um,2
479,government,2
1123,supplements,2
102,remain,2
480,sociopathic,2
482,authoritarian,2
786,know,2
481,narcissist,2
909,stop,1
1183,critical,1
1192,urgent,1
908,partners,1
916,demand,1
907,governments,1
917,multilateral,1
1186,kingdom,1
918,efforts,1
1191,support,1
905,tackle,1
1182,returned,1
1184,directive,1
1187,saudiarabia,1
920,ncdcgov,1
921,thoroughly,1
927,review,1
922,describing,1
1188,provides,1
1185,kingsalman,1
1189,10,1
928,roundtable,1
885,water,1
896,affected,1
895,ground,1
891,per,1
910,foreverychild,1
894,remains,1
1190,million,1
897,communities,1
1181,wth,1
893,betsy_klein,1
898,mitigate,1
1180,diagnosed,1
892,pooler,1
899,secondary,1
1179,contact,1
1178,hv,1
886,cough,1
911,officially,1
890,later,1
904,taken,1
900,impacts,1
1177,cd,1
924,assessment,1
888,making,1
887,sleeve,1
912,anxiety,1
913,weeks,1
925,posed,1
926,drtedros,1
1194,boost,1
881,1,1
1202,insurance,1
790,always,1
791,counterprogramming,1
792,ideas,1
793,welcomed,1
794,dms,1
795,utah,1
796,jazz,1
797,rudy,1
798,gobert,1
799,seriously,1
800,choosing,1
801,mock,1
803,touching,1
787,stories,1
804,microphones,1
805,press,1
806,conference,1
1201,life,1
809,players,1
810,league,1
811,suspending,1
1200,literature,1
1199,newest,1
813,journalism,1
814,colleagues,1
817,remember,1
788,crowded,1
785,newsplan,1
879,nychealthcommr,1
770,145th,1
748,mindful,1
750,many,1
752,sense,1
1205,friend,1
760,breakingnews,1
761,shuts,1
1204,asking,1
765,tests,1
766,laboratory,1
767,finance,1
768,technology,1
769,east,1
1203,policy,1
784,wnyc,1
771,st,1
772,students,1
773,igshidpnp3t1n6gsbk,1
774,baldor,1
775,postpones,1
776,bite,1
778,thepacker,1
779,baldorfood,1
780,socialdistancing,1
781,ireland,1
782,colleges,1
783,crowdsource,1
820,espn,1
821,seanfarnham,1
822,ncaa,1
863,bonkers,1
853,europa,1
854,estados,1
855,unidos,1
1195,international,1
856,dias,1
929,nychealthy,1
857,expansion,1
858,medida,1
859,aplicaran,1
860,el,1
861,reino,1
862,unido,1
864,probably,1
1198,link,1
865,necessary,1
866,appears,1
868,complacent,1
869,message,1
870,ceo,1
872,nice,1
873,focusing,1
874,associates,1
1193,appeal,1
876,customers,1
877,zoomin,1
878,zoom_us,1
852,vuelos,1
851,suspende,1
850,presidente,1
849,precedente,1
823,postseason,1
1197,epidemic,1
824,saw,1
825,college,1
827,played,1
828,suspension,1
830,professionals,1
831,play,1
832,amateurs,1
1196,counter,1
833,put,1
834,stpatricksday,1
835,parade,1
836,imagine,1
837,vaccine,1
838,suspends,1
840,game,1
841,notice,1
842,belabor,1
843,point,1
844,nysboe,1
845,petitoning,1
846,folks,1
847,suspended,1
848,sin,1
1176,doors,1
946,_hudsonyardsnyc,1
930,deputy,1
1052,27,1
1041,family,1
1042,cnni,1
1043,cnn,1
1044,flash,1
1045,employer,1
1046,thekingscollege,1
1047,preparing,1
1048,announce,1
1049,remote,1
1050,delivery,1
1128,zinc,1
