,word,count
243,harder,3
1221,stock,3
926,florida,3
1220,breaking,3
261,economic,3
1237,ready,3
262,policies,3
264,lowest,3
268,7,3
269,million,3
1210,judgejeanine,3
277,agreement,3
288,evidence,3
199,mark,3
894,fbi,3
405,socialism,3
410,dream,3
403,lateterm,3
140,signed,3
406,blatant,3
408,worker,3
399,swamp,3
401,taxes,3
404,abortion,3
891,former,3
1593,fantastic,3
204,homeless,2
843,blame,2
691,rep,2
271,hottest,2
679,petehegseth,2
678,hours,2
1668,trillion,2
1662,gained,2
686,huge,2
916,generals,2
676,arguments,2
1431,unpopular,2
1432,individual,2
690,nytimes,2
436,safety,2
266,50,2
203,california,2
263,unemployment,2
710,phone,2
53,independents,2
708,illegally,2
1064,sent,2
706,absolutely,2
1652,dirty,2
1653,cops,2
702,price,2
701,paid,2
1065,friday,2
699,probably,2
265,level,2
1066,crowd,2
842,angry,2
1433,mandate,2
1069,bring,2
1659,varneyco,2
999,spend,2
1211,disgrace,2
120,landed,2
1681,excuses,2
1422,step,2
913,lindseygrahamsc,2
282,kept,2
1205,canada,2
1086,nomination,2
289,transcript,2
641,exposed,2
1234,anyway,2
639,conversation,2
1775,52,2
851,answer,2
295,certain,2
1687,analysis,2
296,voting,2
1088,steyer,2
61,w,2
652,street,2
1679,finally,2
655,king,2
665,create,2
1572,attacks,2
1672,morning,2
670,russia,2
669,fire,2
1164,commonwealth,2
1080,went,2
275,edge,2
1275,instead,2
914,21,2
663,power,2
915,attorney,2
1163,supposed,2
278,protects,2
1676,energy,2
58,welcoming,2
657,line,2
1166,rights,2
717,sanctions,2
1341,priorities,2
1786,locations,2
215,deranged,2
1031,charles,2
1230,costly,2
780,2016,2
1583,internet,2
1255,tax,2
777,beat,2
1005,presentation,2
1037,rare,2
237,defend,2
772,donald,2
771,stuff,2
14,17,2
1335,asks,2
1223,facts,2
767,loudobbs,2
1580,thousands,2
1254,obviously,2
1609,following,2
1508,fisa,2
1474,fast,2
224,anywhere,2
1595,night,2
807,excellent,2
806,deliver,2
221,ongoing,2
804,local,2
226,top,2
800,whitehouse,2
819,force,2
922,later,2
220,monitor,2
1022,fiction,2
1467,elizabeth,2
1228,around,2
1477,become,2
1478,false,2
1579,biased,2
925,exciting,2
196,briefing,2
762,pastor,2
835,repeating,2
1576,middle,2
35,fighting,2
1640,defending,2
731,busy,2
1641,qassem,2
918,jeanne,2
1440,polling,2
42,across,2
1295,sanders,2
1296,bringing,2
1436,questions,2
722,chairman,2
1340,substitute,2
1648,errors,2
257,growth,2
1650,lives,2
1444,easy,2
1167,show,2
29,argument,2
831,particular,2
1256,cut,2
1285,serious,2
758,opponents,2
210,dreams,2
209,pol,2
1451,whether,2
1291,alltime,2
752,entire,2
740,unfairly,2
751,aoc,2
1448,head,2
834,t9s,2
1635,worst,2
920,march,2
742,indeed,2
741,treated,2
1858,investigation,2
1272,killing,2
627,todd,2
1804,gotten,2
534,extraordinary,2
1362,laura,2
393,toward,2
391,devote,2
1123,representative,2
1265,tigers,2
528,reported,2
1124,randy,2
987,little,2
1558,kerry,2
1127,immigration,2
474,fox,2
523,close,2
1264,lsu,2
521,100,2
1260,construction,2
1318,entertaining,2
520,starts,2
163,age,2
932,primaries,2
551,released,2
550,met,2
1320,whole,2
1160,asking,2
547,controlled,2
96,courage,2
1759,serve,2
990,consider,2
1159,fraudulently,2
1720,meeting,2
448,pay,2
626,sleepyeyes,2
539,changes,2
1361,taxpayer,2
950,shows,2
355,saying,2
555,ahead,2
1743,situation,2
1316,polls,2
1544,fund,2
105,known,2
884,emails,2
1387,adviser,2
369,publicly,2
