,word,count
1155,straw,1
712,important,1
714,fact,1
723,ghost,1
1154,issues,1
716,quickly,1
1153,major,1
1152,distract,1
717,filling,1
718,friday,1
719,capacity,1
1151,coloncancerawareness,1
721,double,1
722,disaster,1
746,consul,1
747,general,1
1121,emergencymoney,1
782,foxfriendsfirst,1
773,found,1
774,adults,1
1133,researcher,1
776,theweek,1
1132,lead,1
778,mortality,1
779,rate,1
1131,published,1
780,low,1
1130,months,1
1129,coming,1
771,ante,1
783,morningsmaria,1
784,americanewsroom,1
858,pandemi,1
1128,million,1
1127,22,1
787,nope,1
1126,kill,1
1125,taken,1
1124,aggressive,1
1123,predicted,1
1134,developed,1
770,consulmexnuy,1
748,jorge_islaslo,1
759,organizado,1
749,sostuvo,1
750,un,1
751,encuentro,1
1140,passed,1
1139,tunnel,1
753,con,1
754,mas,1
756,profesionistas,1
757,mexicanos,1
758,radicados,1
1138,brooklynbattery,1
1135,dry,1
762,usmcocne1,1
763,que,1
1137,deserted,1
764,ofrecio,1
1136,fever,1
765,informacion,1
766,acerca,1
767,las,1
768,acciones,1
769,emprendidas,1
857,lawan,1
869,checking,1
859,inidiplomasi,1
970,sent,1
1051,dn,1
1050,igshid1ovyblbbr3yr0,1
1049,brings,1
965,frustration,1
966,status,1
1048,resident,1
967,pick,1
1047,informed,1
968,26000,1
969,die,1
971,400,1
963,thebodydotcom,1
972,showing,1
1046,pos,1
1045,lying,1
973,reinfected,1
1043,historically,1
974,definitely,1
975,turn,1
976,drug,1
977,therapies,1
978,plasma,1
1052,tip,1
962,thebody,1
981,25665,1
953,highriskcovid19,1
945,igshida7j6k84q37i6,1
946,miss,1
947,yitian,1
1058,affect,1
948,gu,1
949,chinese,1
950,world,1
951,away,1
1057,congestion,1
952,dealing,1
954,mycovidstory,1
961,ap2008,1
955,gone,1
956,wrong,1
1055,treat,1
957,responseand,1
700,creeping,1
958,quotes,1
1054,meds,1
959,gregggonsalves,1
960,carlosdelrio7,1
1053,otc,1
980,climbing,1
982,4790,1
944,comes,1
1011,125people,1
1005,utm_mediumsite,1
1033,square,1
1031,performer,1
1007,utm_campaignsite,1
1030,street,1
1029,lone,1
1008,nypost,1
1028,ahead,1
1009,monday,1
1010,13119,1
1027,storm,1
1003,patient,1
1026,riding,1
1012,3848,1
1013,2646,1
1014,3742,1
1015,1999,1
1016,877,1
1023,pm,1
1017,2213,1
1018,525,1
1019,downtown,1
1004,utm_sourcetwitter_sitebuttons,1
1034,newyorklockdown,1
983,210,1
993,thru,1
984,14904,1
985,3234,1
986,hospitalized756,1
1041,supposed,1
988,economy,1
1040,non,1
990,first,1
1039,practice,1
991,sucks,1
992,point,1
1038,different,1
1001,respirator,1
1037,looks,1
994,sole,1
995,proprietor,1
1036,nap,1
996,business,1
997,crushed,1
1035,taking,1
998,italian,1
999,priest,1
1000,dies,1
1059,blood,1
943,beaten,1
860,indonesianway,1
893,closed,1
883,selfquarantiners,1
1085,dysfunctions,1
1084,egregious,1
886,desk,1
887,usually,1
888,filled,1
889,women,1
890,empowering,1
891,learn,1
892,wricsince1973,1
894,due,1
881,covid19coronavirusfree,1
895,clients,1
1083,highlights,1
897,food,1
898,families,1
1082,capitalism,1
899,nonprofit,1
1081,revolutionize,1
900,igshid1pxbbrxqls2g3,1
901,converted,1
1080,betting,1
882,workspace,1
880,vbmzaakjur3w,1
903,supply,1
1092,wait,1
861,dirumahaja,1
862,change,1
1096,key,1
863,approval,1
1095,payments,1
864,policy,1
1094,cash,1
1093,platitudes,1
866,zoemungin,1
867,pressure,1
1091,afford,1
879,piggy,1
1020,busiest,1
870,temperature,1
871,regularly,1
872,230am,1
873,talk,1
874,radio,1
875,5am,1
1088,returnonequality,1
1087,outleader,1
1086,biz4lgbti,1
902,temporary,1
904,distribution,1
942,actually,1
933,olympics,1
1069,enforce,1
924,joining,1
925,analysis,1
926,financial,1
927,ramifications,1
928,recordedonaniphone,1
929,newnormal,1
930,four,1
931,igshidv31gwf01ghkx,1
932,tokyo,1
934,pushed,1
922,josephestiglitz,1
935,2021,1
1068,continued,1
1067,damaging,1
1066,significant,1
1065,failings,1
1064,everydayhealth,1
1063,tips,1
1062,diabetes,1
1061,8,1
1060,sugar,1
923,columbia,1
921,economist,1
1079,newsletter,1
913,ban,1
905,pleased,1
1078,outleadership,1
906,fed,1
907,potus,1
908,governors,1
909,lessen,1
910,restrictions,1
911,strong,1
1076,unnecessarily,1
912,especially,1
914,travel,1
920,nobelprizewinning,1
1074,cost,1
1073,reluctance,1
1072,ago,1
915,lock,1
916,arbitrary,1
1071,realdonaldtrump,1
1070,defenseproductionact,1
917,dates,1
918,useless,1
919,audio,1
701,closer,1
0,breathtaking,1
699,real,1
257,cbsnews,1
262,unrelated,1
263,matter,1
266,february,1
267,fought,1
268,cancer,1
271,20,1
275,meanwhile,1
276,placescountries,1
279,god,1
280,reason,1
281,regular,1
282,worship,1
283,services,1
284,self,1
285,serving,1
286,purposes,1
288,60000,1
289,965,1
291,min,1
292,join,1
296,moment,1
297,honor,1
298,frontlines,1
300,earthhour,1
301,live,1
259,54,1
256,family,1
207,basically,1
254,thinking,1
211,equipment,1
212,delivered,1
214,quality,1
215,control,1
216,issue,1
221,117,1
224,sheltering,1
226,congresswoman,1
227,yvette,1
228,clarke,1
229,offered,1
230,constituents,1
231,contract,1
233,telling,1
234,folks,1
236,midst,1
