,word,count
15,coronavirus,623
10,covid19,601
205,new,111
12,http,70
22,us,64
11,pandemic,61
54,news,59
192,people,55
260,covid_19,45
424,patients,44
359,york,42
489,cases,41
206,trump,37
24,health,33
314,help,33
2303,de,32
530,deaths,32
31,positive,31
906,says,30
518,via,28
38,crisis,26
161,nyc,26
344,latest,26
116,spread,25
605,tested,25
160,hospitals,24
315,fight,23
159,one,23
627,live,22
51,today,22
49,last,22
244,state,22
198,workers,22
917,died,21
106,many,21
567,like,20
191,work,19
34,china,19
445,city,19
787,symptoms,19
575,update,19
32,time,19
330,day,19
516,get,19
751,care,19
849,first,19
615,hospital,19
444,outbreak,18
80,response,18
999,home,18
415,said,18
706,president,17
352,virus,17
1025,nt,17
242,two,17
182,death,16
576,april,16
113,see,15
4,public,15
251,testing,15
66,watch,15
194,doctors,15
274,community,15
1130,nypd,15
1007,would,15
267,house,15
378,another,14
1811,cuomo,14
1611,nygovcuomo,14
1141,medical,14
231,country,14
797,disease,14
908,week,14
1229,jersey,14
818,reported,13
69,dr,13
501,read,13
237,officials,13
291,briefing,13
305,dies,13
852,since,13
266,white,13
710,world,13
1112,social,13
353,information,13
1132,back,12
1135,know,12
108,ny,12
1126,due,12
819,monday,12
2405,latscovid19journal,12
456,still,12
651,residents,12
650,million,12
1727,far,12
905,general,12
837,according,12
447,novel,12
406,could,12
197,across,12
460,hydroxychloroquine,12
281,data,11
1369,die,11
1064,member,11
75,support,11
179,updates,11
725,governor,11
193,working,11
371,say,11
780,government,11
924,together,11
795,states,11
571,may,11
297,federal,11
168,stay,11
786,staff,11
1234,county,11
690,nj,11
347,show,11
132,caused,10
759,small,10
466,used,10
163,newyork,10
757,worldhealthday,10
145,months,10
241,test,10
952,covid,10
753,lives,10
1820,total,10
186,utm_sourcetwitter,10
568,treatment,10
30,tests,10
689,comfort,10
688,usns,10
47,way,10
610,uk,10
790,americans,10
791,face,10
423,sick,10
2744,en,10
1196,need,10
65,questions,10
1101,global,10
1523,report,10
675,la,10
119,economy,10
931,including,10
286,life,10
616,long,9
1289,ask,9
597,must,9
183,toll,9
227,impact,9
288,daily,9
40,join,9
39,please,9
37,amid,9
1151,start,9
58,thanks,9
25,minister,9
459,use,9
559,medtwitter,9
569,early,9
273,black,9
1175,looking,9
1131,officer,9
485,breaking,9
1,experts,9
820,already,9
146,able,9
68,talk,9
894,call,9
467,confirmed,9
2101,stop,9
462,doctor,9
974,police,9
691,realdonaldtrump,9
959,inside,9
896,employees,9
431,recovered,9
534,team,9
429,blood,8
430,plasma,8
769,resources,8
219,issues,8
951,risk,8
433,let,8
1058,masks,8
1113,distancing,8
612,boris,8
76,2,8
62,liberty,8
594,getting,8
600,room,8
284,every,8
1740,icu,8
41,tonight,8
1299,might,8
613,johnson,8
901,least,8
633,video,8
667,thank,8
938,healthcare,8
1506,needs,8
760,business,8
1335,good,8
181,numbers,8
180,case,8
523,navy,8
1450,patient,8
492,sahara,8
127,2020,8
493,reporters,8
1410,pm,8
1198,taking,7
1103,man,7
247,reports,7
1300,1,7
253,take,7
262,detroit,7
944,also,7
313,ways,7
2549,por,7
276,answer,7
1059,great,7
331,make,7
470,really,7
299,come,7
1442,go,7
60,larrysharpe,7
2156,even,7
2229,intensive,7
61,libertarian,7
1440,never,7
1017,treatments,7
723,big,7
1286,3,7
582,keep,7
973,dead,7
1341,lost,7
98,helping,7
2084,women,7
564,yet,7
46,sharpe,7
91,part,7
747,hope,7
1770,national,7
766,webinar,7
3,talking,7
622,tune,7
458,around,7
1372,brooklyn,7
1240,almost,7
2688,e,7
185,utm_mediumsocial,7
2293,drugs,7
1493,complications,7
587,well,6
670,cbsnewyork,6
317,stories,6
592,critical,6
316,coronavirusrelated,6
609,increase,6
593,unit,6
1534,flattenthecurve,6
2299,les,6
1215,year,6
611,prime,6
604,group,6
1678,announces,6
326,discuss,6
2402,received,6
1644,frontline,6
2010,efforts,6
1062,bronx,6
761,services,6
362,facebook,6
461,treat,6
1620,going,6
357,relief,6
487,records,6
743,island,6
350,tell,6
349,affected,6
3332,tiger,6
1018,spreading,6
343,share,6
337,listen,6
399,everything,6
1219,inspector,6
1008,mother,6
2176,announced,6
1500,members,6
532,nbcnews,6
457,little,6
838,especially,6
1090,full,6
63,media,6
59,sharpeway,6
149,find,6
2217,prison,6
150,vaccine,6
1749,bad,6
1785,ship,6
2336,save,6
84,days,6
230,louisiana,6
822,mental,6
823,making,6
2700,da,6
2645,moved,6
857,battle,6
1093,tuesday,6
44,et,6
200,fighting,6
868,right,6
184,utm_termautofeed,6
1355,24,6
195,nurses,6
5,education,6
290,force,6
1817,safety,6
115,international,6
289,task,6
1150,enough,6
1831,supply,6
881,ventilators,6
143,next,6
1340,dying,6
188,got,6
562,drug,5
2083,6,5
921,number,5
422,20,5
1559,look,5
1554,protect,5
764,tomorrow,5
90,w,5
83,12,5
1424,inmate,5
1109,love,5
1475,known,5
768,measures,5
770,businesses,5
573,warn,5
1992,hands,5
773,story,5
1143,combat,5
775,others,5
2027,25,5
1290,whether,5
994,wear,5
579,focused,5
584,essential,5
1241,normal,5
1627,local,5
434,remember,5
2604,ppe,5
1276,using,5
1288,researchers,5
1177,continues,5
1615,hotspots,5
1614,become,5
533,reporting,5
1461,13,5
1734,donations,5
722,soon,5
1835,agency,5
2230,worsened,5
2770,american,5
730,glad,5
1832,shortages,5
3333,zoo,5
540,potential,5
1807,500,5
1120,development,5
854,law,5
758,department,5
442,evidence,5
1133,duty,5
546,catch,5
172,took,5
1767,nation,5
1796,think,5
879,episode,5
1117,united,5
1468,beginning,5
2274,treating,5
454,important,5
1430,personal,5
1801,wave,5
1545,plans,5
123,much,5
2319,hour,5
1069,recovering,5
1068,experience,5
367,made,5
1533,getmeppe,5
364,misinformation,5
1885,milwaukee,5
895,center,5
307,companies,5
1762,protective,5
1535,key,5
813,human,5
254,seriously,5
1720,fauci,5
35,lockdown,5
2709,anything,5
617,lines,5
1089,quarantine,5
1760,buy,5
1092,stream,5
1491,past,5
2421,line,5
1208,news12bk,5
603,partner,5
665,professionals,5
2902,order,5
72,stayhome,5
2532,seem,5
1086,andrew,5
1227,emergency,5
1306,three,5
1205,straight,5
601,begin,5
2107,shows,5
833,communities,5
595,distributing,5
327,4,5
1520,ordered,5
1083,told,5
1207,news12bx,5
657,second,5
105,march,4
2056,military,4
538,shares,4
1574,began,4
644,wuhan,4
646,deadly,4
3066,sao,4
668,families,4
2476,fuck,4
1594,though,4
1592,available,4
510,release,4
1283,led,4
659,want,4
2777,na,4
1834,watchdog,4
1454,cnn,4
2472,flu,4
2898,related,4
117,abc7ny,4
1887,5,4
1458,tips,4
2899,thought,4
2425,reuters,4
529,10000,4
1510,piece,4
1331,multiple,4
634,inmates,4
87,action,4
2985,borisjohnson,4
2221,point,4
608,singleday,4
607,largest,4
686,plus,4
48,special,4
50,weekend,4
1165,recovery,4
2223,five,4
1155,free,4
972,huge,4
1867,earlier,4
596,goods,4
697,crozier,4
1866,warned,4
71,facts,4
589,lot,4
1861,healthcareheroes,4
884,son,4
1556,feel,4
705,vice,4
900,threat,4
18,israel,4
1464,retail,4
1467,authorities,4
677,du,4
1492,years,4
3064,mortes,4
1347,nycha,4
2803,cities,4
26,claims,4
978,opposed,4
620,despite,4
2401,end,4
2075,answers,4
1171,yesterday,4
2219,orleans,4
902,four,4
922,leaders,4
478,provider,4
1499,family,4
1956,access,4
252,everyone,4
777,sba,4
825,holding,4
1049,south,4
839,vulnerable,4
1107,9,4
1709,joins,4
841,africanamericans,4
1757,nurse,4
411,project,4
767,financial,4
1756,curve,4
1099,filed,4
1040,sent,4
1649,corona,4
2374,asthma,4
1957,fda,4
804,emerged,4
843,per,4
1426,severe,4
2734,contracted,4
2713,old,4
1769,troubling,4
2582,fear,4
845,population,4
1187,money,4
2544,que,4
365,cr,4
1763,gear,4
235,worst,4
234,rate,4
1704,covid19pandemic,4
793,rates,4
3271,accounts,4
2733,yorkers,4
354,visit,4
828,send,4
3439,nyu,4
1690,close,4
2975,sport,4
1388,stimulus,4
932,air,4
785,school,4
2531,ones,4
783,schools,4
781,released,4
871,infected,4
428,based,4
240,prisoners,4
2553,el,4
282,effects,4
2559,sunday,4
1022,result,4
477,service,4
1073,infectious,4
1287,nyulangone,4
1610,leadership,4
484,covid2019,4
486,nigeria,4
1358,731,4
2100,wash,4
1436,homes,4
130,economies,4
494,lagos,4
1604,status,4
2561,mom,4
306,tech,4
1081,continue,4
1737,without,4
1971,high,4
480,open,4
152,medications,4
808,medicine,4
474,weeks,4
861,coming,4
1242,spain,4
469,explains,4
2555,pandemia,4
1096,several,4
2613,coronaviruspandemic,4
1183,preventing,4
3216,mas,4
2961,ethical,4
328,different,4
909,statistacharts,3
2814,extkeyysocial_tw,3
1332,times,3
1304,donating,3
685,prevention,3
913,hometown,3
1400,opportunities,3
2418,sure,3
666,front,3
817,scientists,3
810,behind,3
1293,men,3
1404,strategy,3
1403,developing,3
979,putting,3
1393,1000,3
1328,donated,3
1329,felt,3
935,create,3
3508,doc,3
3505,requests,3
3475,news12,3
2080,statement,3
829,youtube,3
862,study,3
3411,pause,3
1427,saying,3
752,risking,3
2398,correct,3
3460,socialdistancing,3
2158,something,3
878,nightline,3
2867,whitehousebriefing,3
3413,overnight,3
1351,additional,3
2163,words,3
1414,expert,3
964,appear,3
2132,ago,3
963,zach,3
1352,beds,3
2388,late,3
1439,brave,3
960,icymi,3
869,suggests,3
958,quickly,3
2137,27,3
1373,transitioning,3
1374,covid19only,3
1376,ending,3
2875,sociopath,3
794,infection,3
1305,reduced,3
2078,cdcgov,3
898,crowded,3
792,alarming,3
2116,promise,3
3450,tandon,3
897,calls,3
779,29,3
778,bulletin,3
2081,cultural,3
695,history,3
2082,rights,3
1422,sharing,3
772,advice,3
3453,nyutandonmade,3
888,month,3
886,ventilator,3
842,14,3
2139,best,3
2122,harvard,3
1399,challenges,3
2796,sports,3
1502,former,3
248,7,3
332,current,3
1216,incredible,3
1210,democrat,3
1725,refused,3
1730,surge,3
283,nearly,3
268,conference,3
1194,step,3
2580,michael,3
249,side,3
2710,freedom,3
345,avoid,3
232,highest,3
229,parsharebar,3
228,__sourcesharebartwitter,3
226,seeing,3
225,market,3
218,regulatory,3
217,economic,3
2590,stayathome,3
2594,recent,3
1960,isolation,3
341,address,3
348,solidarity,3
2599,gov,3
