,word,count
27,great,69
201,democrats,61
38,president,61
75,impeachment,61
215,nothing,55
37,thank,47
129,people,42
21,us,34
401,country,32
79,would,32
101,house,31
133,time,30
93,trump,29
91,pelosi,29
382,united,28
151,going,28
109,senate,28
277,nancy,27
61,american,26
315,never,26
138,deal,25
14,big,25
99,get,24
281,hoax,24
107,want,24
80,like,24
299,even,24
19,new,24
100,republican,23
515,years,23
383,states,22
26,many,22
574,done,21
119,trade,21
239,news,20
675,wrong,20
475,nato,20
558,left,19
238,fake,19
350,party,18
332,call,18
104,dems,18
473,much,18
139,china,17
262,last,17
62,history,17
767,win,17
55,foxnews,17
355,said,17
245,bad,17
557,radical,17
103,3,16
88,think,16
81,see,16
342,first,16
106,case,16
56,one,16
354,ever,16
87,trial,16
864,strong,16
349,democrat,15
588,got,15
115,good,15
20,year,15
276,crazy,15
503,way,15
113,read,14
108,go,14
511,hard,14
596,job,14
540,total,14
581,republicans,14
764,today,14
644,economy,14
498,record,13
416,best,13
537,crime,13
59,witch,13
321,far,13
112,know,13
31,military,13
1320,jobs,13
1126,fbi,12
96,must,12
255,foxandfriends,12
510,working,12
60,hunt,12
309,america,12
335,help,11
547,believe,11
564,say,11
408,stock,11
824,billion,11
643,put,11
870,endorsement,11
1157,report,11
351,made,11
587,impeach,11
57,administration,11
590,ukraine,11
662,evidence,11
121,back,11
871,congressman,11
993,schiff,11
1088,2020,11
617,court,10
626,usmca,10
384,congress,10
877,maga,10
214,countries,10
202,anything,10
453,also,10
102,vote,10
307,support,10
67,two,10
348,true,10
52,election,10
304,homeless,10
523,scam,10
283,tremendous,10
560,everything,10
759,border,9
455,usa,9
193,always,9
185,end,9
869,complete,9
33,world,9
477,number,9
609,congratulations,9
589,zero,9
338,wall,9
409,market,9
4,iran,9
9,lost,9
127,day,9
1401,totally,9
364,media,9
722,corrupt,9
570,work,9
749,bill,8
751,space,8
568,look,8
744,numbers,8
297,make,8
527,process,8
621,long,8
964,phone,8
143,take,8
123,white,8
260,night,8
417,yet,8
317,despite,8
1121,law,8
114,transcripts,8
856,cnn,7
688,100,7
684,since,7
419,chuck,7
1057,well,7
628,show,7
179,fact,7
615,including,7
13,pay,7
571,witnesses,7
220,families,7
217,part,7
437,fantastic,7
358,wow,7
706,already,7
884,jeff,7
718,phony,7
1144,leadership,7
85,without,7
968,better,7
265,fight,7
264,come,7
74,articles,7
752,force,7
144,place,7
145,high,7
51,2016,7
1036,impeached,7
1128,fisa,7
450,others,7
344,really,7
1266,debates,7
312,agenda,7
161,attack,7
29,together,7
640,possible,6
1123,successful,6
845,members,6
1148,ridiculous,6
361,incredible,6
212,paid,6
371,another,6
402,story,6
216,wants,6
1299,fair,6
280,less,6
847,looking,6
1246,three,6
252,wonderful,6
223,yesterday,6
748,defense,6
837,close,6
702,let,6
592,pressure,6
766,times,6
986,actually,6
116,meeting,6
1403,mariabartiromo,6
488,trying,6
584,majority,6
774,whole,6
598,care,6
534,become,6
156,russia,6
1424,pennsylvania,6
696,right,6
820,veterans,5
559,wanted,5
600,federal,5
1189,farmers,5
258,york,5
642,policies,5
743,poll,5
298,hate,5
206,joe,5
484,district,5
715,hillary,5
487,problem,5
773,vets,5
58,greatest,5
1382,favor,5
418,speaker,5
517,difficult,5
120,heading,5
199,protect,5
8,lives,5
669,constitution,5
800,spending,5
98,quickly,5
292,sad,5
413,presidents,5
724,caught,5
591,perfect,5
287,dirty,5
1385,ig,5
620,every,5
380,unfair,5
1512,tariffs,5
704,lose,5
1585,point,5
23,iraq,5
178,texas,5
311,keep,5
1109,abuse,5
867,2a,5
381,hearing,5
1111,thing,5
1049,soon,5
170,important,5
166,able,5
