,word,count
0,great,95
3,thank,82
7,news,54
287,people,45
337,fake,34
310,coronavirus,33
80,states,29
50,new,29
130,working,27
67,get,26
39,us,26
201,way,25
76,mike,25
194,federal,23
17,would,23
1670,mini,23
488,job,23
58,american,22
79,united,22
1424,kag2020,22
95,country,21
6,house,20
506,together,20
104,joe,20
1,work,20
146,never,20
1058,bernie,19
131,hard,19
602,want,18
327,many,18
329,one,18
546,good,18
375,today,18
10,pm,18
213,keep,18
167,virus,18
235,must,18
195,government,18
623,america,18
189,strong,18
241,day,17
324,going,17
788,go,17
155,democrats,17
377,ever,16
172,win,16
848,sleepy,16
263,media,15
5,white,15
253,nation,15
165,nothing,14
745,democrat,14
121,york,14
856,biden,14
259,said,14
427,state,13
423,made,13
170,need,13
125,president,13
8,conference,13
1103,support,13
568,even,13
214,much,13
533,also,13
249,done,12
173,back,12
106,see,12
736,well,12
164,things,12
518,history,12
86,bill,12
118,bad,12
126,trump,12
24,time,12
237,national,11
384,full,11
122,governor,11
422,decision,11
41,workers,11
639,like,11
59,families,11
447,far,11
1047,russia,11
569,best,11
1739,bloomberg,11
453,make,11
660,world,11
188,usa,10
256,love,10
605,always,10
778,important,10
552,ventilators,10
769,early,10
105,order,10
163,got,10
866,protect,10
140,americans,10
480,really,9
217,wonderful,9
752,know,9
1353,incredible,9
73,better,9
774,lives,9
402,governors,9
786,foxnews,9
651,china,9
644,vote,9
178,fast,9
1446,endorsement,9
1128,cut,9
1594,race,9
296,numbers,9
1444,complete,9
449,corrupt,9
353,quickly,8
662,enemy,8
486,maga,8
149,every,8
758,senator,8
161,real,8
508,prevail,8
761,help,8
771,saved,8
512,act,8
525,businesses,8
169,republicans,8
535,general,8
411,god,8
907,chinese,8
247,years,8
834,situation,8
839,borders,8
370,come,8
275,number,8
625,money,8
559,times,8
360,rate,8
397,cdcgov,8
210,others,8
897,msdnc,8
1307,reserve,8
738,testing,8
65,safe,8
11,eastern,8
1445,total,8
1059,sanders,7
361,year,7
100,low,7
89,two,7
697,life,7
381,watch,7
917,health,7
75,jobs,7
87,big,7
239,war,7
704,possible,7
265,michael,7
391,force,7
227,left,7
636,republican,7
806,coming,7
637,party,7
211,continue,7
750,presidential,7
83,long,7
630,dems,7
202,ahead,7
978,close,7
325,crazy,7
